2.9.62.9.62.9.6,"Các loại tấm trần, vách ngăn khácCác loại tấm trần, vách ngăn khácCác loại tấm trần, vách ngăn khác"
2.102.102.10,"Vật liệu sợi vô cơ sử dụng cho cách âm, cách nhiệt, gia cườngVật liệu sợi vô cơ sử dụng cho cách âm, cách nhiệt, gia cườngVật liệu sợi vô cơ sử dụng cho cách âm, cách nhiệt, gia cường"
2.10.12.10.12.10.1,"Sợi, bông thủy tinh và các vật liệu dạng tấm, lưới, cuộn từ sợi, bông thủy tinhSợi, bông thủy tinh và các vật liệu dạng tấm, lưới, cuộn từ sợi, bông thủy tinhSợi, bông thủy tinh và các vật liệu dạng tấm, lưới, cuộn từ sợi, bông thủy tinh"
2.10.22.10.22.10.2,Amiăng trắng (amiăng chrysotile)Amiăng trắng (amiăng chrysotile)Amiăng trắng (amiăng chrysotile)
2.10.32.10.32.10.3,"Sợi, bông khoáng và các vật liệu dạng tấm, lưới, cuộn từ sợi, bông khoángSợi, bông khoáng và các vật liệu dạng tấm, lưới, cuộn từ sợi, bông khoángSợi, bông khoáng và các vật liệu dạng tấm, lưới, cuộn từ sợi, bông khoáng"
2.10.42.10.42.10.4,"Sợi, bông gốmSợi, bông gốmSợi, bông gốm"
2.10.52.10.52.10.5,Các loại vật liệu sợi vô cơ khácCác loại vật liệu sợi vô cơ khácCác loại vật liệu sợi vô cơ khác
2.112.112.11,Vật liệu san lấp có nguồn gốc tự nhiênVật liệu san lấp có nguồn gốc tự nhiênVật liệu san lấp có nguồn gốc tự nhiên
2.11.12.11.12.11.1,Cát san lấpCát san lấpCát san lấp
2.11.22.11.22.11.2,Đất san lấpĐất san lấpĐất san lấp
2.11.32.11.32.11.3,Các loại vật liệu san lấp tự nhiên khácCác loại vật liệu san lấp tự nhiên khácCác loại vật liệu san lấp tự nhiên khác
2.122.122.12,Thạch cao tự nhiên và sản phẩm thạch cao khácThạch cao tự nhiên và sản phẩm thạch cao khácThạch cao tự nhiên và sản phẩm thạch cao khác
333,VẬT LIỆU XÂY DỰNG KIM LOẠIVẬT LIỆU XÂY DỰNG KIM LOẠIVẬT LIỆU XÂY DỰNG KIM LOẠI
3.13.13.1,Vật liệu thép xây dựngVật liệu thép xây dựngVật liệu thép xây dựng
3.1.13.1.13.1.1,Thép thanhThép thanhThép thanh
