Trạm,Cấp lượng mưa (mm),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
80. Yên Định,"10,1-20","0,2","0,3","0,6","0,9","1,9",2,"2,3","2,6",2,"1,2","0,7","0,4"
80. Yên Định,"20,1-50","0,1","0,3","0,6",2,"2,4",2,"2,8","1,6","0,5","0,2",,
80. Yên Định,"50,1-100",0,"0,1","0,6","0,7","0,8","1,2","1,4","0,9","0,1",0,,
80. Yên Định,"100,1-150",0,"0,1","0,3","0,2","0,1",0,,,,,,
80. Yên Định,"≥ 150,1",0,"0,1","0,2",0,"0,1",0,,,,,,
81. Bái Thượng,Không mưa,"20,4","16,8","16,6",16,"13,4","14,7","14,9","13,3","16,4","19,7","22,4","24,9"
81. Bái Thượng,"0,2-5","9,3","10,2","12,2",10,"7,9","6,4","6,5","4,7",5,"4,7","4,9",
81. Bái Thượng,"5,1-10","0,8","0,9","1,1","1,4","2,5","2,1","2,7","2,5","1,6","1,2","0,7",
81. Bái Thượng,"10,1-20","0,4","0,3","0,7","1,3","2,7","2,6","2,9","2,6","2,3","1,6","0,9","0,4"
81. Bái Thượng,"20,1-50","0,1","0,4","1,1","3,5","2,9","4,3","2,6","2,1","0,6","0,1",,
81. Bái Thượng,"50,1-100","0,1",0,"0,1","0,2",1,"1,2",1,"1,4","0,9","0,8","0,1",0
81. Bái Thượng,"100,1-150",0,"0,1","0,3","0,1",0,,,,,,,
81. Bái Thượng,"≥ 150,1",0,"0,1","0,4","0,1",0,,,,,,,
82. Như Xuân,Không mưa,"21,5","17,6","18,2","19,2","17,8",18,"19,3",16,"16,4",19,"22,9",25
82. Như Xuân,"0,2-5","8,6","9,8","10,9","8,1","7,1","5,1",6,"4,9","5,2","4,2","4,8",
82. Như Xuân,"5,1-10","0,4","0,5","1,1",2,"1,5","1,6","2,2","1,8","1,2","0,5",,
82. Như Xuân,"10,1-20","0,4","0,6","0,8","1,6",2,"2,1","2,4","2,2","1,9","0,7","0,4",
82. Như Xuân,"20,1-50","0,2",0,"0,3","0,7","1,9",2,"2,4","3,1","2,9","1,8","0,7","0,3"
82. Như Xuân,"50,1-100",0,"0,1","0,5","0,9","1,1","0,8","0,3",0,,,,
82. Như Xuân,"100,1-150",0,"0,1","0,2","0,1","0,3",0,,,,,,
82. Như Xuân,"≥ 150,1",0,"0,1","0,4","0,3","0,1",0,,,,,,
83. Tĩnh Gia,Không mưa,"21,3","16,5","17,9","20,1","21,1",21,"21,5","16,9","15,7","18,3",22,"24,9"
83. Tĩnh Gia,"0,2-5","7,7","9,3","10,7",7,"5,5","4,1","4,4",6,"4,5","5,4","4,7","4,5"
83. Tĩnh Gia,"5,1-10","1,1","1,4","1,1","1,3","1,4","1,7","1,4","1,3","0,6",,,
83. Tĩnh Gia,"10,1-20","0,6","0,3","0,5",1,"1,3","1,2","1,3","2,1","1,8","0,9","0,5",
83. Tĩnh Gia,"20,1-50","0,3","0,2","0,4","0,5","1,4","1,7","1,5","2,7","3,1","2,1","0,6","0,4"
83. Tĩnh Gia,"50,1-100",0,"0,2","0,5","0,6","0,5","1,1","1,9","1,3","0,3",0,,
83. Tĩnh Gia,"100,1-150",0,"0,1","0,2","0,3","0,6","0,4","0,1",0,,,,
83. Tĩnh Gia,"≥ 150,1",0,"0,1","0,4","0,1",0,,,,,,,
84. Thanh Hóa,Không mưa,"22,6","17,2",18,"19,8","19,4","18,1","19,7",16,"15,5","18,9","22,8","25,7"
84. Thanh Hóa,"0,2-5","7,6","10,1","11,3","7,6","6,2","5,8","4,9","6,1","5,1","5,2","4,5","3,9"
84. Thanh Hóa,"5,1-10","0,4","0,6","0,9","1,6","1,7","1,6","2,5","1,9","1,7",1,"0,6",
84. Thanh Hóa,"10,1-20","0,4","0,2","0,5","0,7","1,5","1,4","1,7","2,1","2,2","1,6","0,6","0,4"
84. Thanh Hóa,"20,1-50","0,1","0,3","0,8","1,7","2,1",2,"2,7","3,1","2,1","0,6","0,3",
84. Thanh Hóa,"50,1-100",0,"0,1","0,6","0,8","1,2","1,4","0,9","0,2","0,1",,,
84. Thanh Hóa,"100,1-150",0,"0,1","0,2","0,4","0,2","0,1",0,,,,,
84. Thanh Hóa,"≥ 150,1",0,"0,1","0,4","0,1",0,,,,,,,
85. Hồi Xuân,Không mưa,"25,3","22,1","22,3","18,1","14,3","13,5","12,7",13,"16,4","21,1","24,1","27,2"
85. Hồi Xuân,"0,2-5",5,"5,5","6,9","7,8","7,4","6,9","6,5","6,3","5,6","4,8","4,1","3,2"
85. Hồi Xuân,"5,1-10","0,2","0,4","0,9","1,6","3,1","2,4","3,2","2,8",2,"1,8","0,9","0,3"
85. Hồi Xuân,"10,1-20","0,4","0,3","0,5","1,3","2,5","2,7","3,2",3,"1,8","1,6","0,5","0,3"
85. Hồi Xuân,"20,1-50","0,1","0,4","1,1",3,"3,4","3,8","4,5",3,1,"0,4","0,1",
85. Hồi Xuân,"50,1-100",0,"0,1","0,2","0,7","1,2","1,4","1,1","0,9","0,5","0,1",0,
85. Hồi Xuân,"100,1-150",0,"0,1","0,2","0,1","0,2",0,,,,,,
85. Hồi Xuân,"≥ 150,1",0,"0,1","0,2","0,1",0,,,,,,,
86. Quỳ Châu,Không mưa,"24,1","22,1","23,3","19,2","14,7","15,1","15,5","12,4",15,"18,7","22,1","20,7"
86. Quỳ Châu,"0,2-5","6,1","5,5","6,2","6,6","6,9","6,5","7,1","7,9",6,"5,6","5,7","4,4"
86. Quỳ Châu,"5,1-10","0,5","0,4","0,7","1,4","2,8","2,4","2,2",3,"2,4","1,8","0,9","0,5"
86. Quỳ Châu,"10,1-20","0,2","0,4","1,7","2,7","2,9","3,4","2,4","1,7","0,8","0,3",,
86. Quỳ Châu,"20,1-50","0,1","0,3",1,"3,4","2,5","3,3","2,5","1,8","0,3","0,2",,
86. Quỳ Châu,"50,1-100",0,"0,1","0,6","0,5",1,"1,1","0,1",0,,,,
86. Quỳ Châu,"100,1-150",0,"0,1","0,2","0,6","0,2",0,,,,,,
86. Quỳ Châu,"≥ 150,1",0,"0,1","0,2",0,,,,,,,,
87. Quỳ Hợp,Không mưa,"22,2",19,"20,2","19,3","16,5","18,4","18,2","14,4","15,4","18,6","23,1","25,8"
87. Quỳ Hợp,"0,2-5",8,"8,4",9,"6,9",7,"5,2","5,8",7,"5,3","5,9","4,7","4,1"
87. Quỳ Hợp,"5,1-10","0,5","0,3","0,8","1,4","1,9","1,6","1,7","2,2","2,4","1,8","1,1","0,6"
87. Quỳ Hợp,"10,1-20","0,3","0,6","1,3","2,1","1,8","2,2","2,9","2,2","1,8","0,7","0,3",
87. Quỳ Hợp,"20,1-50","0,1","0,2","0,3","0,9","2,3","2,1","2,2","3,2",3,"1,7","0,2","0,1"
87. Quỳ Hợp,"50,1-100",0,"0,1",1,"0,7",1,"1,2","0,8","0,1",0,,,
87. Quỳ Hợp,"100,1-150",0,"0,2","0,1","0,3",0,,,,,,,
87. Quỳ Hợp,"≥ 150,1",0,"0,1",0,"0,1","0,2",0,,,,,,
88. Tây Hiếu,Không mưa,"23,2","19,1","21,2",21,"18,6","19,1","20,3","15,6","19,2","22,4","25,6",
88. Tây Hiếu,"0,2-5","6,9","8,1","8,2","5,9","6,4","5,1","4,9","6,7","5,4",5,"5,1","4,4"
88. Tây Hiếu,"5,1-10","0,5","0,6","0,7","1,1","1,7","1,4","1,6","2,1","1,9","1,1","0,5",
88. Tây Hiếu,"10,1-20","0,2","0,6","1,0","1,7","1,8","1,5","2,3","2,1","1,7","0,9","0,3",
88. Tây Hiếu,"20,1-50","0,2","0,8","1,8","1,9","2,9","1,8","0,5","0,2",,,,
88. Tây Hiếu,"50,1-100",0,"0,2","0,6","1,1","1,3","0,9","0,1",0,,,,
88. Tây Hiếu,"100,1-150",0,"0,1","0,2","0,3","0,4","0,3",0,,,,,
88. Tây Hiếu,"≥ 150,1",0,"0,1","0,3",0,,,,,,,,
89. Quỳnh Lưu,Không mưa,"23,9","20,3","21,2","21,4","20,9","21,3","22,5","18,2","15,7","17,7",22,"25,2"
89. Quỳnh Lưu,"0,2-5","6,3","7,2","8,4","6,1","4,3","5,3",5,"5,8",5,"4,6",,
89. Quỳnh Lưu,"5,1-10","0,4","0,6","0,7","0,8","1,3","1,1","1,6","1,4","1,3","0,4",,
89. Quỳnh Lưu,"10,1-20","0,2","0,3","0,4","0,7","1,1","1,2","2,3","2,4","2,1","0,8","0,3",
89. Quỳnh Lưu,"20,1-50","0,1","0,2","0,3","0,8","1,1","1,4","1,3","2,2","2,9","2,1","0,6","0,4"
89. Quỳnh Lưu,"50,1-100",0,"0,1","0,4","0,6","0,4","0,9","1,5","1,1","0,3","0,1",,
89. Quỳnh Lưu,"100,1-150",0,"0,1","0,2","0,4","0,5","0,4","0,1",0,,,,
89. Quỳnh Lưu,"≥ 150,1",0,"0,1","0,5",0,,,,,,,,
90. Con Cuông,Không mưa,"19,6","16,9","18,9",18,"17,4","18,8","19,7","15,6","14,6","16,9","19,6","22,8"
90. Con Cuông,"0,2-5","9,6","9,7","9,4","8,1","6,8","5,8","5,3","6,8","5,6","5,8","6,8","6,6"
90. Con Cuông,"5,1-10","1,2",1,"1,5","1,8","2,1","1,5","1,6","2,4","2,2","1,8","0,8",
90. Con Cuông,"10,1-20","0,4","0,9","1,0","2,2","1,6",2,"2,3","2,8","2,1","1,1","0,6",
90. Con Cuông,"20,1-50","0,1","0,3","0,4","1,0","1,7","1,4","1,5","2,8","2,6","2,4","0,6","0,2"
90. Con Cuông,"50,1-100",0,"0,1","0,7","0,8","1,6","1,1","0,1",0,,,,
90. Con Cuông,"100,1-150",0,"0,1",0,"0,1","0,3","0,4","0,3","0,1",0,,,
90. Con Cuông,"≥ 150,1",0,"0,1","0,2",0,,,,,,,,
91. Đô Lương,Không mưa,"20,3","17,2","19,1","18,6","18,1","20,1","20,9","16,5","14,8","16,8",20,"22,4"
91. Đô Lương,"0,2-5","9,2","9,6","9,8","7,7","6,5",5,"5,1","6,5","5,2","5,6","6,1","6,7"
91. Đô Lương,"5,1-10","0,9","1,1","1,4","1,9","1,4","1,3","2,1","2,3","1,7","1,6","0,9",
91. Đô Lương,"10,1-20","0,5","0,4","0,6","1,1","1,9","1,4","1,6","2,1","2,3","1,3","0,6",
91. Đô Lương,"20,1-50","0,1","0,2","0,3","1,0","1,9","1,6","1,5","2,6","3,4","2,7","0,6","0,3"
91. Đô Lương,"50,1-100",0,"0,1","0,2","0,6","0,5","1,0","1,4","0,9","0,3",0,,
91. Đô Lương,"100,1-150",0,"0,1","0,6","0,5","0,1",0,,,,,,
91. Đô Lương,"≥ 150,1",0,"0,1","0,2","0,3","0,4",0,,,,,,
92. Tương Dương,Không mưa,"27,2","24,5","24,9","19,2","16,3",16,"16,6","12,6","14,8","18,8","22,9","27,1"
92. Tương Dương,"0,2-5","3,1","2,9","4,2","6,3","7,7","7,8","7,7","8,8","7,0","6,2","5,4","3,3"
92. Tương Dương,"5,1-10","0,4","0,7","1,7","2,0","2,1","3,1","2,4","2,2","0,7","0,2",,
92. Tương Dương,"10,1-20","0,2","0,3","0,8","1,5","2,5","1,8","2,1","2,8","1,9","1,6","0,4","0,2"
92. Tương Dương,"20,1-50",0,"0,1","0,3","1,2","1,9","1,7","1,9","2,6","1,3","0,3","0,1",
92. Tương Dương,"50,1-100",0,"0,1","0,4","0,5","0,9","1,1","0,6","0,1",0,,,
92. Tương Dương,"100,1-150",0,"0,1",0,,,,,,,,,
92. Tương Dương,"≥ 150,1",0,"0,1",0,,,,,,,,,
93. Vinh,Không mưa,"18,6","15,6","18,2",20,"20,4","22,5","24,1","19,2","15,7","15,1","17,4","20,2"
93. Vinh,"0,2-5","9,2","10,6","10,3","7,1",6,"4,1","3,7","5,7","4,8","6,1","6,9","7,1"
93. Vinh,"5,1-10","1,9","1,4","1,3","1,1","1,4","0,9","1,5",2,"1,7","1,6",,
93. Vinh,"10,1-20","0,8","0,6","0,9","1,1",1,"0,9","1,4","2,1","1,9","1,1",,
93. Vinh,"20,1-50","0,4","0,1","0,3","0,7","1,1","0,8","1,7",3,"2,9","1,4","0,9",
93. Vinh,"50,1-100","0,1",0,"0,1","0,7","0,4","0,3","0,9","1,6","1,7","0,5","0,1",
93. Vinh,"100,1-150",0,"0,1","0,2","0,7","0,6","0,1",0,,,,,
93. Vinh,"≥ 150,1",0,"0,1","0,3","0,7","0,8","0,1",0,,,,,
94. Hương Khê,Không mưa,"18,3","14,7",16,"17,5","16,9","18,9","19,6","15,8","13,1","12,6","16,5","19,9"
94. Hương Khê,"0,2-5","10,3","11,2","12,1","8,5","6,7","5,5","6,1","6,9","6,1",7,"7,2","7,4"
94. Hương Khê,"5,1-10","1,4","1,3","1,4","1,9","1,7","1,8","2,4","2,5","1,9","1,6",,
94. Hương Khê,"10,1-20","0,7","0,9","1,2","2,2","1,6","1,3","2,4","2,6","1,9","1,1",,
94. Hương Khê,"20,1-50","0,3","0,6","1,0","2,3","1,6","2,4",3,"2,9","1,7","0,8",,
94. Hương Khê,"50,1-100",0,"0,1","0,3","0,9","0,6","0,5","1,6","1,9","0,5","0,1",,
94. Hương Khê,"100,1-150",0,"0,1","0,3","0,6","0,7","0,3",0,,,,,
94. Hương Khê,"≥ 150,1",0,"0,1","0,4","0,6","0,9","0,1",0,,,,,
95. Kỳ Anh,Không mưa,"16,2","14,8","18,9","20,9","22,8","24,4","20,5","14,5","12,5","12,9","15,6",
95. Kỳ Anh,"0,2-5","8,2","9,1","8,9","6,3","5,3","3,3","3,4","4,8","4,9","6,1","7,2","7,6"
95. Kỳ Anh,"5,1-10","2,8","2,4","1,6","1,3","1,5","1,1","1,4",2,"2,5","2,3",,
95. Kỳ Anh,"10,1-20","2,6","1,4",1,"0,7",1,"1,1","0,8","1,5","2,3","2,4",,
95. Kỳ Anh,"20,1-50","1,3","0,5","0,7","1,5","1,2","0,8","1,8",3,"3,5","2,7","2,3",
95. Kỳ Anh,"50,1-100","0,1","0,5","0,4","0,5","1,9","2,3","1,5","0,5",,,,
95. Kỳ Anh,"100,1-150",0,"0,2",0,"0,1","0,3","0,7","1,1","0,5","0,2",,,
95. Kỳ Anh,"≥ 150,1",0,"0,1","0,3","0,7","1,2","0,3",0,,,,,
96. Hà Tĩnh,Không mưa,"16,6","13,6","16,9","19,9","20,4",22,24,"20,2","15,6","13,3","14,8","17,6"
96. Hà Tĩnh,"0,2-5","8,9",11,"11,1","7,1","5,8","4,2",4,"5,4","4,7","5,7","6,3","7,1"
96. Hà Tĩnh,"5,1-10","2,6",2,"1,4","1,1","1,3","0,9","0,8","1,3","1,8","2,1","2,5",2
96. Hà Tĩnh,"10,1-20","1,7","1,1",1,"1,3",1,"1,4","1,9","2,6","2,1","1,7",,
96. Hà Tĩnh,"20,1-50","1,1","0,4","0,6","1,3","1,1","0,6","1,5","2,7","3,2","2,6","1,9",
96. Hà Tĩnh,"50,1-100","0,1",0,"0,3","0,5","0,6","0,3","0,6","1,8","2,1","1,1","0,5",
96. Hà Tĩnh,"100,1-150",0,"0,2","0,1","0,2","0,7","0,4","0,1",,,,,
96. Hà Tĩnh,"≥ 150,1",0,"0,1","0,4","0,8","1,3","0,2",0,,,,,
97. Tuyên Hóa,Không mưa,"17,4","16,2","19,4","20,1","19,1","20,6","21,5","17,1","13,3","11,9","13,8","17,1"
97. Tuyên Hóa,"0,2-5","11,1","10,1","9,3","6,7","5,9","4,6","4,9","6,4","6,2","6,8","8,5","9,4"
97. Tuyên Hóa,"5,1-10","1,4","1,1","1,7","1,4","2,1","2,2","2,6","2,5","2,1",,,
97. Tuyên Hóa,"10,1-20","0,7","0,6","0,7","1,1","1,9","1,5","1,3","1,8","2,3","2,7","2,3","1,7"
97. Tuyên Hóa,"20,1-50","0,3","0,5","0,9","1,8","1,4","1,2","2,5","3,3","3,2",2,"0,6",
97. Tuyên Hóa,"50,1-100",0,"0,2","0,4","0,5","0,6","1,6","2,1","0,7","0,1",,,
97. Tuyên Hóa,"100,1-150",0,"0,1",0,"0,1","0,2","0,5","0,8","0,1",0,,,
97. Tuyên Hóa,"≥ 150,1",0,"0,1",0,"0,3","0,6","0,9","0,1",0,,,,
98. Ba Đồn,Không mưa,"20,9","18,8","21,6","22,6","21,9","23,5","24,6",21,"15,3","13,3",15,"19,2"
98. Ba Đồn,"0,2-5","7,4","7,7",5,"5,1","3,5","3,8",5,"5,2",6,"7,2",,
98. Ba Đồn,"5,1-10","1,4","0,9","0,8","1,1","1,3","0,8","1,4","2,1","2,6","1,9",2,
98. Ba Đồn,"10,1-20","0,7","0,6","1,2","0,8","0,7","1,4","2,1","1,9","1,3",,,
98. Ba Đồn,"20,1-50","0,5","0,3","0,4","0,5",1,"0,9","0,5","1,3","3,1","3,4","2,3",1
98. Ba Đồn,"50,1-100",0,"0,1","0,4","0,5","1,2","1,9","0,8","0,3",,,,
98. Ba Đồn,"100,1-150",0,"0,1","0,2","0,6","0,8","0,3",0,,,,,
98. Ba Đồn,"≥ 150,1",0,"0,1",0,"0,2","0,5","0,8","0,1",0,,,,
99. Đồng Hới,Không mưa,"20,7","18,5","21,2","21,8","21,5","23,3","24,5","20,5","14,7","12,1","13,9",18
99. Đồng Hới,"0,2-5","7,4","7,9","7,8","5,8","5,2","3,6","3,9","5,4","5,7","7,1","7,8",
99. Đồng Hới,"5,1-10","1,3","0,9","1,1","1,3","0,9","0,7","1,5",2,"2,7","2,3","1,8",
99. Đồng Hới,"10,1-20","0,9","0,7","0,6","0,7","1,2","1,1","0,6","1,4","2,2","2,9","2,4","1,6"
99. Đồng Hới,"20,1-50","0,7","0,2","0,3","0,4","1,1","0,8","0,9","1,3","3,1","3,5","2,5","1,4"
99. Đồng Hới,"50,1-100","0,1","0,2","0,5","0,2","0,5","1,3","2,3","1,2","0,4",,,
99. Đồng Hới,"100,1-150",0,"0,1",0,"0,2","0,7","0,8","0,3",0,,,,
99. Đồng Hới,"≥ 150,1",0,"0,1","0,6","0,9","0,3",0,,,,,,
100. Cồn Cỏ,Không mưa,"16,5","15,8","20,7","22,5","23,7","25,7","26,8","23,5","15,5","12,4","12,9","13,6"
100. Cồn Cỏ,"0,2-5","7,8","9,2","7,6","5,2","4,4","2,3","3,7","4,9","7,7",9,,
100. Cồn Cỏ,"5,1-10","2,6","1,4","1,2",1,"1,2","0,5","0,7","2,1","2,4","2,5","2,7",
100. Cồn Cỏ,"10,1-20",2,1,"0,8","0,5","0,6","0,5","0,6","1,2","2,5","2,2","2,3","2,5"
100. Cồn Cỏ,"20,1-50","1,7","0,8","0,6","0,7","0,6","0,5","0,9","2,5","3,3","2,8","2,5",
100. Cồn Cỏ,"50,1-100","0,3",0,"0,1","0,3","0,2","0,4","0,1","0,5","1,5","1,8","1,3","0,6"
100. Cồn Cỏ,"100,1-150","0,1",0,"0,1","0,3","0,5","0,8","0,2","0,1",,,,
100. Cồn Cỏ,"≥ 150,1",0,"0,1","0,2","0,4","0,2","0,1",,,,,,
101. Đông Hà,Không mưa,"18,4","18,5","21,1",21,"22,9",24,"20,7","14,3","10,8","14,2",,
101. Đông Hà,"0,2-5","9,5",8,"6,5","5,3","3,9","4,3","5,3","5,8","6,9",8,"9,4",
101. Đông Hà,"5,1-10","1,4","0,9",1,"0,8","1,4","1,1","0,8","1,5",2,"2,4","2,9","2,5"
101. Đông Hà,"10,1-20","1,2","0,5","0,6","0,8","1,3",1,"1,2","2,6",3,"2,9",2,
101. Đông Hà,"20,1-50","0,4","0,3","0,6","1,5","0,8","0,7","1,3","3,2","3,9",3,"2,2",
101. Đông Hà,"50,1-100",0,"0,3","0,1","0,5","1,2","2,5","1,4","0,5",,,,
101. Đông Hà,"100,1-150",0,"0,1","0,2","0,4","0,9","0,5","0,1",,,,,
101. Đông Hà,"≥ 150,1",0,"0,1","0,5","0,8","0,4",0,,,,,,
102. Khe Sanh,Không mưa,"22,4","22,2","24,4","20,3","15,4","13,9","13,8",10,"10,3","10,6","12,3",16
102. Khe Sanh,"0,2-5","7,7","5,1","4,8",6,"8,6","8,7","10,3","8,5",9,"10,9","11,5",
102. Khe Sanh,"5,1-10","0,5","0,7","1,2","2,4","2,6","3,1","3,8",3,"2,8","2,3","1,7",
102. Khe Sanh,"10,1-20","0,3","0,4","1,1","2,3","1,9","2,3","2,9","3,3","2,8",2,"1,3",
102. Khe Sanh,"20,1-50",0,"0,2","0,6",1,"1,9","2,1",2,"2,7","2,8","3,1","1,6","0,4"
102. Khe Sanh,"50,1-100",0,"0,1","0,3","0,4","0,6","0,9","1,4","1,6","0,5",0,,
102. Khe Sanh,"100,1-150",0,"0,1","0,3","0,6","0,2",0,,,,,,
102. Khe Sanh,"≥ 150,1",0,"0,1","0,3","0,6","0,1",0,,,,,,
103. A Lưới,Không mưa,"15,2","15,8","17,2","14,1","11,3","15,9","16,1","14,4","8,4","7,4","7,5","9,1"
103. A Lưới,"0,2-5","11,9","10,3","10,6","8,7","9,1","6,6","8,1","8,3","7,6","7,3","8,1","11,2"
103. A Lưới,"5,1-10",2,1,"1,4","2,1","2,8","2,1","2,3","3,6","3,3",3,"3,3",
103. A Lưới,"10,1-20","1,4","0,9",1,"2,2","3,4","2,5","2,1","2,3","3,9","3,2","3,4","3,1"
103. A Lưới,"20,1-50","0,6","0,2","0,7","2,5","3,8","2,3","1,8","2,6","4,1",5,"4,2","2,8"
103. A Lưới,"50,1-100","0,1",0,"0,1","0,3","0,6","0,5","0,6","0,8","1,7","2,4","1,9","1,1"
103. A Lưới,"100,1-150",0,"0,1",0,"0,2","0,3","0,8","0,7","0,3",,,,
103. A Lưới,"≥ 150,1",0,"0,4","1,6","1,2","0,2",,,,,,,
104. Nam Đông,Không mưa,16,18,"21,3","19,1","14,6","15,9","16,6","16,3","11,1","9,6","9,1","10,9"
104. Nam Đông,"0,2-5","8,7","7,3","6,8","7,3","8,5","6,5","7,5","7,6","6,6","7,4","9,3",
104. Nam Đông,"5,1-10","2,7","1,4","1,2","2,8","2,3","2,1","1,9","2,7","2,6","3,1",,
104. Nam Đông,"10,1-20","2,1","1,2",1,"1,9","2,4","2,3","3,1","3,3",3,"2,8",,
104. Nam Đông,"20,1-50","1,4","0,4","0,7","1,2","2,4","2,2","3,3","3,4","3,9",,,
104. Nam Đông,"50,1-100","0,1",0,"0,1","0,3","0,7","0,5","0,4","0,6","1,3","2,6","2,2","0,7"
104. Nam Đông,"100,1-150",0,"0,1",0,"0,2","0,6","1,3","0,6","0,2",,,,
104. Nam Đông,"≥ 150,1",0,"0,1",0,"0,2","0,5","1,6","1,3","0,2",,,,
105. Huế,Không mưa,"16,3","18,1","21,7","21,8","20,1","21,4","23,2",21,"14,3","10,5","9,5","11,9"
105. Huế,"0,2-5","8,7","7,1","5,9","6,4",5,"4,3","5,5","6,5","6,8","7,2","8,6",
105. Huế,"5,1-10","2,4","1,3","0,8","1,6",1,"1,5","1,4",2,"2,3","2,7","2,8",
105. Huế,"10,1-20",2,1,"0,8","0,7","1,5","1,2","1,1","1,3","2,4","2,8",3,
105. Huế,"20,1-50","1,1","0,6","0,4","0,6","0,9","0,7","1,2","2,5",4,"4,2",3,
105. Huế,"50,1-100","0,4","0,1","0,2","0,4","0,3","0,2","0,4","1,3","2,2","1,9","1,4",
105. Huế,"100,1-150",0,"0,1",0,"0,2","0,5","1,3","0,8","0,2",,,,
105. Huế,"≥ 150,1",0,"0,1","0,4","1,1","0,7","0,2",,,,,,
106. Đà Nẵng,Không mưa,"20,3","23,4","26,7","25,1","22,3","22,4","20,1","15,3","11,3","10,5","13,3",
106. Đà Nẵng,"0,2-5","7,3","3,7","3,3","3,5","5,2","4,3","5,1","5,8","5,6","6,2","8,3","9,8"
106. Đà Nẵng,"5,1-10","1,4","0,4","0,5","0,6","1,2","1,1","1,2","1,6","1,9","2,1","2,8","2,5"
106. Đà Nẵng,"10,1-20","1,1","0,5","0,3","0,6","1,2","1,1","0,9","1,7","2,5","3,4","2,6",
106. Đà Nẵng,"20,1-50","0,8","0,2","0,8","1,2","2,7","3,9","3,3",2,,,,
106. Đà Nẵng,"50,1-100","0,2",0,"0,1","0,2","0,3","0,1","0,5","1,2","2,6","1,5","0,5",
106. Đà Nẵng,"100,1-150","0,1",0,"0,1",0,"0,1","0,4","0,9","0,4","0,1",,,
106. Đà Nẵng,"≥ 150,1",0,"0,1",0,"0,1","0,4","0,7","0,6","0,1",,,,
107. Tam Kỳ,Không mưa,17,22,"25,9","24,8",22,"22,6","23,6","21,5","15,2","10,7","9,8","10,8"
107. Tam Kỳ,"0,2-5","8,4","4,1","3,3","3,6","5,2","3,9","3,8","5,1","6,5","6,1","7,2","8,6"
107. Tam Kỳ,"5,1-10","2,4","1,1","0,7","0,6","1,5","1,1","1,2","1,9","3,1",3,"3,4",
107. Tam Kỳ,"10,1-20","1,6","0,5","0,4",1,"1,3","1,9","3,1","2,7","3,3",,,
107. Tam Kỳ,"20,1-50","1,1","0,4","0,3","0,8",1,"0,9","1,3","2,6","3,6","3,2",,
107. Tam Kỳ,"50,1-100","0,4","0,1","0,2","0,3","0,5","1,1","2,4","2,3","1,1",,,
107. Tam Kỳ,"100,1-150",0,"0,1",0,"0,2",0,"0,1","0,4",1,"0,9","0,3",,
107. Tam Kỳ,"≥ 150,1",0,"0,1",0,"0,4",1,"0,7","0,3",,,,,
108. Trà My,Không mưa,"16,3","19,7","23,1","19,9","13,3","15,4","16,2",16,"10,7","9,4","8,1","9,1"
108. Trà My,"0,2-5","7,3","5,3","4,5","5,7","7,4","6,4","7,8","7,1","6,8","5,1","5,7","7,5"
108. Trà My,"5,1-10","2,7","1,4","1,2","2,5","2,4","1,9","2,1","2,9","2,5","3,2",,
108. Trà My,"10,1-20","2,5","1,1","1,5","2,8","2,2","2,1",2,"2,9","3,3","2,9","3,9",
108. Trà My,"20,1-50","1,7","0,6","0,7","1,3","3,9","2,8","2,5","3,2","4,6","4,9","4,8",
108. Trà My,"50,1-100","0,4","0,2","0,4",1,"0,7","0,5","1,5","2,6","2,8","1,8",,
108. Trà My,"100,1-150","0,1",0,"0,1",0,"0,1",0,"0,1","0,4","1,4","1,5","0,5",
108. Trà My,"≥ 150,1",0,"0,2","1,6","0,2",,,,,,,,
109. Ba Tơ,Không mưa,"14,5",19,"23,4","21,6","16,3","16,9","18,5","16,9","11,2","9,6","7,8","8,9"
109. Ba Tơ,"0,2-5","9,2","6,1","4,8","4,9","7,1",6,"6,6","6,8","6,9","6,3","6,5","8,5"
109. Ba Tơ,"5,1-10","2,9","1,3","1,1","1,2","2,1","1,6","1,9","2,9","3,3","3,5",,
109. Ba Tơ,"10,1-20","2,4","1,2","0,7",1,"2,1","2,3","2,2","2,5","3,2","3,3","2,9","3,3"
109. Ba Tơ,"20,1-50","1,8","0,5","0,7","0,9","2,5","2,1","1,7","2,7","4,3","3,9","3,7","4,3"
109. Ba Tơ,"50,1-100","0,2","0,1","0,3","0,7","0,4","0,3","1,1","2,5","2,7","1,6",,
109. Ba Tơ,"100,1-150",0,"0,1",0,"0,1",0,"0,1","0,2","1,1","1,5","0,5",,
109. Ba Tơ,"≥ 150,1","0,1",0,"0,1","1,3","1,7","0,4",,,,,,
110. Quảng Ngãi,Không mưa,"16,8","21,1","25,8","24,8","22,2","21,9","22,1","19,2","14,3","10,6","9,2","10,8"
110. Quảng Ngãi,"0,2-5","9,3","5,3","3,6","5,7","4,8","5,5","6,3","6,1",7,"8,4","10,4",
110. Quảng Ngãi,"5,1-10",2,1,"0,6","0,7","1,2","1,1","1,2","1,6","2,3","2,5","3,1",
110. Quảng Ngãi,"10,1-20","1,4","0,6","0,5","0,4","0,9","0,7",1,"1,6","2,4","2,8","2,7",3
