Trạm,Suất bảo đảm (%),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
76. Thái Bình,60,"12,0","18,0","33,0","46,4","120,6","143,0","175,9","251,7","244,1","101,8","31,1","14,4","1580,0"
76. Thái Bình,50,"14,0","24,0","42,0","69,5","141,7","158,7","199,7","277,1","293,0","150,3","42,9","18,0","1638,3"
76. Thái Bình,40,"18,4","27,8","45,7","77,6","173,2","203,6","239,4","314,7","361,3","193,3","52,5","23,4","1765,7"
76. Thái Bình,30,"25,3","32,1","56,7","101,8","197,3","228,8","266,1","353,8","413,4","254,4","70,2","26,0","1841,6"
76. Thái Bình,20,"50,1","37,5","74,7","120,5","217,6","244,6","312,3","395,2","441,4","350,1","92,6","41,7","1936,2"
76. Thái Bình,10,"72,6","45,2","84,1","149,5","281,9","300,9","430,0","464,3","509,7","436,7","195,6","59,4","2127,1"
76. Thái Bình,5,"111,4","48,5","102,7","179,9","324,5","327,0","474,6","561,0","720,2","530,3","246,4","70,5","2262,4"
77. Hà Nam,95,"2,8","9,0","19,9","24,2","72,1","82,7","71,5","143,4","88,1","25,5","0,8","1,2","1334,6"
77. Hà Nam,90,"4,3","10,1","21,8","30,8","83,7","113,0","114,5","157,5","132,2","42,8","4,3","2,0","1431,7"
77. Hà Nam,80,"8,0","14,6","25,4","46,2","121,2","146,5","168,0","203,1","166,7","82,5","14,7","6,8","1606,0"
77. Hà Nam,70,"10,2","21,1","33,5","55,8","151,7","167,9","181,4","249,2","209,7","93,0","23,6","9,9","1693,6"
77. Hà Nam,60,"14,3","24,6","40,5","64,4","178,6","211,8","214,3","271,5","234,8","141,3","36,1","13,9","1738,7"
77. Hà Nam,50,"18,2","27,6","47,5","75,7","199,7","232,7","243,2","291,7","286,0","176,5","63,0","17,1","1774,1"
77. Hà Nam,40,"26,4","29,5","53,3","81,7","207,0","265,5","265,2","308,9","305,1","221,2","79,7","34,7","1863,8"
77. Hà Nam,30,"38,9","35,2","65,4","101,7","250,4","283,2","307,4","352,1","357,1","311,9","100,6","46,4","1937,6"
77. Hà Nam,20,"49,2","37,7","77,5","134,4","293,7","325,7","351,3","408,2","403,2","353,4","122,8","58,6","2163,4"
77. Hà Nam,10,"85,2","47,6","91,1","152,6","334,7","396,7","408,5","450,5","572,5","429,6","171,3","85,4","2328,3"
77. Hà Nam,5,"107,3","60,0","132,3","169,9","365,4","432,2","442,8","487,6","644,5","479,3","211,7","99,0","2549,6"
78. Ninh Bình,95,"0,9","5,9","14,0","19,1","66,3","66,5","90,7","156,1","125,2","21,8","2,6","0,4","1219,2"
78. Ninh Bình,90,"2,4","7,8","17,2","28,7","71,7","94,0","101,2","175,2","134,2","31,4","3,6","1,5","1403,0"
78. Ninh Bình,80,"6,3","10,9","23,9","40,0","90,4","113,9","133,3","206,5","198,1","89,8","12,2","3,1","1467,6"
78. Ninh Bình,70,"8,6","13,8","32,4","44,5","117,0","148,0","157,3","221,9","224,2","118,5","23,6","6,8","1555,0"
78. Ninh Bình,60,"11,4","16,9","36,8","46,8","123,9","168,0","212,8","250,3","260,0","150,0","39,6","9,5","1646,0"
78. Ninh Bình,50,"13,2","23,0","39,8","58,0","147,7","207,1","234,5","279,4","315,5","199,0","49,8","19,0","1745,2"
78. Ninh Bình,40,"17,9","26,7","45,8","68,1","170,3","216,8","261,3","327,4","378,7","240,0","65,3","27,6","1823,6"
78. Ninh Bình,30,"26,9","29,2","54,6","84,0","201,5","249,9","279,9","399,3","408,7","276,7","70,9","34,0","1910,6"
78. Ninh Bình,20,"49,6","39,3","61,0","110,4","248,9","296,8","318,6","428,1","485,9","350,3","95,0","44,8","2010,3"
78. Ninh Bình,10,"66,1","46,2","89,0","150,6","305,7","340,7","385,4","444,5","692,8","406,7","155,6","75,3","2330,8"
78. Ninh Bình,5,"91,5","62,8","98,6","188,0","320,3","406,6","440,9","503,4","817,6","500,7","186,3","86,6","2505,2"
79. Nho Quan,95,"1,5","9,1","19,9","21,7","87,1","91,6","88,4","149,3","99,9","19,5","0,9","0,1","1292,5"
79. Nho Quan,90,"4,1","9,9","21,2","37,0","98,0","98,2","112,9","164,8","143,3","39,6","5,6","1,3","1374,0"
79. Nho Quan,80,"7,1","14,5","24,8","48,3","115,3","137,2","179,9","218,3","192,9","84,5","11,9","4,2","1459,2"
79. Nho Quan,70,"9,1","15,9","27,7","55,4","137,2","163,9","191,4","256,7","221,3","103,5","24,1","5,5","1534,1"
79. Nho Quan,60,"11,9","17,5","33,3","58,8","161,5","177,0","223,9","281,8","253,9","132,8","38,2","10,3","1702,3"
79. Nho Quan,50,"15,1","21,4","39,5","72,3","181,0","200,4","246,0","299,4","287,5","194,9","48,1","15,2","1896,6"
79. Nho Quan,40,"24,1","25,7","45,9","86,1","210,0","226,9","293,6","323,8","332,2","244,1","63,9","28,3","1945,4"
79. Nho Quan,30,"30,2","30,0","56,0","109,3","258,1","265,7","331,5","375,7","401,3","307,3","90,7","31,2","2038,6"
79. Nho Quan,20,"42,4","32,8","65,0","133,1","298,3","315,9","379,6","421,8","446,6","346,2","109,5","43,5","2179,8"
79. Nho Quan,10,"67,4","40,1","76,5","152,3","354,9","366,5","432,5","479,5","549,8","409,3","143,7","48,4","2476,1"
79. Nho Quan,5,"72,6","52,3","123,3","166,9","438,4","403,2","517,4","571,2","727,6","465,0","220,2","66,2","2552,0"
80. Yên Định,95,"0,6","1,9","8,2","12,9","50,5","48,2","47,3","112,4","103,1","34,6","1,8","0,0","980,5"
80. Yên Định,90,"1,0","3,1","10,8","23,4","62,6","79,0","72,0","126,0","117,4","49,3","4,2","0,2","1101,5"
80. Yên Định,80,"2,9","5,0","14,4","27,6","81,9","112,4","100,6","167,9","166,4","64,9","11,5","3,0","1222,8"
80. Yên Định,70,"4,5","5,9","17,3","35,0","102,9","126,9","128,1","192,0","194,1","82,8","18,9","4,7","1301,0"
80. Yên Định,60,"5,8","10,7","20,2","40,6","119,4","144,7","169,2","219,8","241,9","110,4","24,3","9,0","1428,5"
80. Yên Định,50,"12,2","12,7","24,1","48,5","140,3","160,6","189,0","236,8","285,0","158,5","34,0","12,9","1534,6"
80. Yên Định,40,"15,4","14,7","28,6","54,2","159,9","191,8","223,0","269,7","344,8","205,2","46,0","15,7","1584,1"
80. Yên Định,30,"21,5","19,3","36,6","64,0","182,7","227,2","259,1","309,1","416,1","257,2","62,8","20,9","1638,2"
80. Yên Định,20,"29,1","25,7","43,2","74,2","222,8","278,8","302,5","356,6","495,0","330,4","93,4","33,9","1892,4"
80. Yên Định,10,"45,6","34,5","59,5","119,6","261,4","330,1","354,0","422,4","561,0","398,4","149,4","48,5","2165,1"
80. Yên Định,5,"67,9","48,4","73,1","171,3","301,9","355,4","411,6","472,3","617,5","436,3","194,7","61,9","2241,4"
81. Bái Thượng,95,"4,3","5,7","15,0","27,9","118,1","97,0","119,3","163,4","56,9","26,7","7,0","2,1","1351,3"
81. Bái Thượng,90,"7,2","9,4","19,0","32,2","125,4","114,4","134,9","182,3","118,3","40,5","8,9","3,2","1409,8"
81. Bái Thượng,80,"9,4","13,0","24,8","45,2","147,2","147,5","159,4","225,4","147,6","81,6","21,0","5,4","1565,4"
81. Bái Thượng,70,"12,1","16,4","28,5","54,0","174,9","164,0","182,9","244,4","211,2","121,7","29,2","9,8","1720,5"
81. Bái Thượng,60,"14,3","21,1","33,3","63,3","213,4","213,1","205,8","292,9","254,1","151,6","37,9","13,8","1797,4"
81. Bái Thượng,50,"18,5","24,0","37,1","71,0","231,3","230,3","213,0","311,6","279,0","186,2","47,0","20,6","1885,1"
81. Bái Thượng,40,"25,8","27,7","42,1","83,7","257,4","265,0","245,0","328,7","343,4","218,3","57,9","25,9","2073,8"
81. Bái Thượng,30,"32,5","33,6","53,2","109,5","278,7","301,5","253,8","361,6","394,7","297,7","77,9","32,0","2189,3"
81. Bái Thượng,20,"40,3","41,5","56,7","129,1","332,5","363,0","302,2","414,2","487,7","388,5","123,2","43,9","2288,4"
81. Bái Thượng,10,"59,8","48,6","82,6","153,5","390,5","397,9","381,8","469,7","634,0","426,5","222,4","54,6","2476,5"
81. Bái Thượng,5,"79,8","56,6","123,2","195,4","430,3","442,2","452,3","712,1","704,3","444,7","346,3","57,8","2590,2"
82. Như Xuân,95,"4,7","5,7","9,0","12,3","37,9","47,4","28,2","106,3","81,6","38,4","5,6","1,3","1214,2"
82. Như Xuân,90,"6,2","6,8","12,0","14,9","47,4","63,0","67,3","125,8","118,9","62,6","9,7","2,6","1281,0"
82. Như Xuân,80,"9,3","16,2","29,4","63,3","87,0","94,4","171,6","193,4","96,8","17,2","7,2","1363,2",
82. Như Xuân,70,"12,1","11,8","22,3","33,3","97,3","104,4","121,6","202,9","226,7","132,4","27,8","11,8","1423,6"
82. Như Xuân,60,"14,6","15,2","28,7","37,5","114,5","128,1","138,6","222,0","277,6","160,9","30,8","16,6","1529,0"
82. Như Xuân,50,"16,0","18,4","31,6","49,7","141,5","159,7","161,0","253,9","338,4","216,7","43,8","19,2","1649,4"
82. Như Xuân,40,"23,6","19,6","43,0","64,4","170,6","181,2","196,7","292,4","358,4","270,8","63,1","28,3","1699,4"
82. Như Xuân,30,"30,0","23,4","54,0","73,2","189,1","204,0","230,1","324,4","466,7","344,0","103,7","33,2","1843,2"
82. Như Xuân,20,"47,7","28,6","61,6","84,7","208,4","230,9","264,3","371,2","541,0","419,8","150,9","41,7","1961,4"
82. Như Xuân,10,"61,0","34,2","77,6","111,2","265,8","275,0","307,4","489,5","651,2","567,1","259,6","58,7","2274,1"
82. Như Xuân,5,"75,0","48,9","86,8","153,8","340,8","319,7","320,6","571,9","800,3","635,3","312,2","77,1","2336,5"
83. Tĩnh Gia,95,"4,8","8,0","17,8","14,1","22,1","27,9","36,7","96,2","133,8","57,3","8,5","1,6","1214,2"
83. Tĩnh Gia,90,"9,6","11,7","22,9","22,2","30,4","40,0","48,0","127,8","159,6","85,4","17,0","3,3","1357,3"
83. Tĩnh Gia,80,"17,9","16,1","29,6","28,1","46,2","69,9","52,5","184,7","220,4","122,8","22,5","8,5","1451,6"
83. Tĩnh Gia,70,"20,2","19,3","31,4","36,6","72,4","85,0","77,6","199,5","278,5","154,8","27,1","15,9","1581,6"
83. Tĩnh Gia,60,"22,8","24,4","35,1","39,1","104,4","102,5","95,4","219,7","334,2","257,4","37,2","19,5","1713,0"
83. Tĩnh Gia,50,"25,1","29,6","39,8","50,9","122,5","115,1","148,6","238,7","405,8","308,0","56,2","23,5","1758,0"
83. Tĩnh Gia,40,"31,4","35,0","49,7","62,5","137,0","132,4","158,6","269,5","473,2","389,6","88,3","28,7","1850,5"
83. Tĩnh Gia,30,"46,4","41,2","58,0","72,0","164,1","153,6","203,3","297,9","549,3","477,7","116,5","38,6","2048,9"
83. Tĩnh Gia,20,"62,6","54,7","71,3","83,2","200,8","184,4","241,7","384,1","629,0","543,2","161,2","57,9","2228,4"
83. Tĩnh Gia,10,"91,9","66,8","85,8","111,1","278,5","268,5","362,7","405,1","871,5","700,8","226,6","68,5","2481,6"
83. Tĩnh Gia,5,"101,1","93,9","96,5","131,6","324,7","334,7","498,8","462,0","917,1","808,3","257,3","97,7","2691,5"
84. Thanh Hoá,95,"2,0","3,9","12,6","21,3","31,1","46,4","53,3","101,2","103,9","44,5","4,5","0,0","1087,2"
84. Thanh Hoá,90,"3,5","5,2","14,6","25,6","41,8","63,2","64,0","128,9","154,2","83,8","7,5","0,9","1169,6"
84. Thanh Hoá,80,"5,6","8,2","19,1","29,6","57,4","96,4","84,7","152,6","176,3","109,3","13,2","4,5","1374,5"
84. Thanh Hoá,70,"6,5","11,1","23,9","36,1","106,6","120,3","118,0","173,0","230,1","131,0","25,5","8,7","1461,6"
84. Thanh Hoá,60,"8,8","14,4","27,4","42,0","118,2","136,3","141,9","216,5","300,3","152,2","33,1","14,1","1587,5"
84. Thanh Hoá,50,"14,2","16,8","34,3","48,8","134,8","146,9","171,4","249,5","393,2","209,7","42,1","18,6","1691,3"
84. Thanh Hoá,40,"20,2","21,9","39,7","54,0","152,6","153,8","218,4","271,0","429,9","246,4","60,5","27,2","1769,7"
84. Thanh Hoá,30,"24,5","23,8","48,7","75,1","180,5","186,2","248,5","331,2","487,0","362,1","85,9","39,2","1869,6"
84. Thanh Hoá,20,"36,2","30,3","55,5","90,5","202,8","253,0","288,9","385,0","553,8","430,1","132,9","53,4","1984,1"
84. Thanh Hoá,10,"61,3","41,6","82,4","111,5","262,4","365,0","340,1","510,4","651,0","575,5","169,9","63,0","2317,4"
84. Thanh Hoá,5,"77,6","47,1","95,3","134,9","287,4","426,5","413,4","569,1","897,5","628,8","192,4","78,5","2422,6"
85. Hồi Xuân,95,"0,7","2,7","5,8","22,3","93,0","121,2","170,0","149,1","94,8","12,6","2,4","0,6","1347,1"
85. Hồi Xuân,90,"1,3","3,6","8,2","40,5","114,5","136,0","210,5","164,9","118,5","30,7","5,1","0,8","1448,5"
85. Hồi Xuân,80,"3,0","5,0","12,3","52,2","135,4","172,8","236,1","225,0","170,7","53,6","10,0","2,6","1595,4"
85. Hồi Xuân,70,"4,2","6,9","15,4","66,4","159,9","195,0","259,1","262,7","206,3","80,8","13,1","3,8","1644,5"
85. Hồi Xuân,60,"6,5","9,1","25,1","78,6","175,8","227,8","271,9","298,5","228,7","101,2","16,4","5,5","1694,8"
85. Hồi Xuân,50,"8,6","10,1","31,0","91,0","195,6","244,0","303,1","323,3","256,2","124,1","24,0","12,0","1758,0"
85. Hồi Xuân,40,"10,6","12,5","36,1","94,5","233,6","265,0","324,9","354,6","276,5","147,5","33,3","15,9","1813,4"
85. Hồi Xuân,30,"16,5","20,1","40,8","111,2","269,7","307,1","356,1","385,8","312,1","173,6","41,2","22,7","1899,2"
85. Hồi Xuân,20,"26,4","24,2","48,6","118,9","306,2","332,5","413,8","420,7","364,8","235,6","75,7","26,6","1970,5"
85. Hồi Xuân,10,"42,9","27,7","70,4","155,3","365,9","382,2","497,2","528,5","446,3","345,6","113,8","39,1","2164,4"
85. Hồi Xuân,5,"52,6","35,0","93,4","172,3","397,2","402,6","535,8","566,9","525,3","394,5","144,5","46,7","2376,7"
86. Quỳ Châu,95,"1,8","1,5","2,8","13,0","105,6","66,9","72,5","140,8","98,9","48,5","4,7","0,8","1218,2"
86. Quỳ Châu,90,"2,5","2,0","3,7","19,2","117,9","78,2","96,1","154,6","138,8","69,9","7,7","1,6","1314,7"
86. Quỳ Châu,80,"3,6","2,9","7,9","36,0","143,8","140,0","118,7","188,8","173,5","88,9","13,5","3,3","1392,1"
86. Quỳ Châu,70,"5,7","5,4","12,2","51,8","168,8","150,8","140,2","218,8","212,0","108,3","20,1","5,3","1496,6"
86. Quỳ Châu,60,"8,3","7,1","17,0","62,0","178,0","172,8","156,7","243,4","252,8","120,0","26,9","10,9","1594,5"
86. Quỳ Châu,50,"10,4","9,5","21,0","84,9","196,4","191,1","183,4","279,5","282,6","152,1","34,1","16,2","1707,9"
86. Quỳ Châu,40,"13,9","12,8","28,6","89,5","224,6","215,0","198,0","308,3","303,3","218,1","43,3","19,2","1765,3"
86. Quỳ Châu,30,"16,9","18,0","36,5","101,7","269,6","242,5","239,3","350,0","374,3","300,8","50,8","26,2","1820,1"
86. Quỳ Châu,20,"26,3","23,6","44,2","114,3","309,2","275,9","284,9","379,1","439,9","360,0","74,7","35,1","1894,4"
86. Quỳ Châu,10,"53,4","30,7","69,8","139,4","359,3","307,1","361,1","424,9","555,3","447,1","121,0","39,4","2014,8"
86. Quỳ Châu,5,"71,3","40,9","81,8","184,2","372,8","332,6","485,7","470,7","663,5","528,6","202,9","57,9","2251,8"
87. Quỳ Hợp,95,"2,0","2,1","5,8","21,7","66,2","53,3","54,0","118,4","99,1","40,0","3,9","0,9","1196,8"
87. Quỳ Hợp,90,"3,2","5,0","10,2","24,0","98,3","70,2","58,2","137,4","107,3","54,7","5,8","1,1","1247,1"
87. Quỳ Hợp,80,"4,4","7,0","13,1","30,1","124,1","110,6","104,8","186,2","164,0","98,7","13,0","3,0","1344,3"
87. Quỳ Hợp,70,"6,7","8,8","19,0","47,7","149,7","123,3","120,7","218,0","194,4","117,4","19,6","7,7","1429,7"
87. Quỳ Hợp,60,"10,3","11,0","22,5","53,2","167,5","152,0","140,1","237,2","217,8","159,4","26,6","9,5","1513,8"
87. Quỳ Hợp,50,"15,3","15,1","28,3","62,7","189,7","192,6","166,5","261,1","264,0","197,6","36,0","12,7","1595,7"
87. Quỳ Hợp,40,"17,9","17,7","31,5","75,0","220,5","219,7","199,2","282,8","305,3","239,9","49,5","16,0","1673,0"
87. Quỳ Hợp,30,"23,8","23,3","41,1","87,1","251,0","239,7","221,8","316,5","347,2","326,4","59,2","21,3","1713,5"
87. Quỳ Hợp,20,"35,1","29,1","50,2","93,1","282,7","263,4","243,7","377,2","429,2","355,4","69,4","29,9","1853,5"
87. Quỳ Hợp,10,"55,3","46,7","66,7","113,1","296,5","284,9","306,8","444,5","545,1","436,7","104,3","46,8","1969,4"
87. Quỳ Hợp,5,"71,7","50,0","78,5","159,3","363,3","393,6","376,6","493,5","634,9","475,8","114,5","51,9","2109,4"
88. Tây Hiếu,95,"2,2","2,6","5,7","10,5","48,8","32,9","27,9","76,2","71,8","33,5","6,4","0,4","1111,7"
88. Tây Hiếu,90,"3,4","4,2","9,0","12,8","62,3","54,0","46,9","94,5","94,3","60,3","10,3","1,4","1174,0"
88. Tây Hiếu,80,"5,6","5,0","12,4","19,8","87,1","81,7","86,3","151,2","178,7","90,2","15,3","3,1","1285,1"
88. Tây Hiếu,70,"6,9","8,2","17,1","31,2","104,8","107,8","108,0","197,8","237,1","137,7","29,3","6,8","1353,4"
88. Tây Hiếu,60,"10,3","9,3","19,5","38,5","119,6","131,3","121,5","224,4","263,0","150,2","38,0","11,0","1432,4"
88. Tây Hiếu,50,"12,7","13,4","25,0","47,9","159,3","152,2","136,0","243,7","307,1","188,6","44,4","12,5","1581,6"
88. Tây Hiếu,40,"14,7","15,8","30,3","58,8","165,7","163,6","168,1","295,0","371,8","289,3","51,4","17,8","1681,0"
88. Tây Hiếu,30,"21,1","22,2","35,7","74,7","172,9","204,7","208,9","328,1","436,2","371,9","75,4","26,6","1734,2"
88. Tây Hiếu,20,"41,8","35,8","43,6","100,2","190,2","254,7","292,2","363,9","492,3","422,9","95,8","36,0","1939,9"
88. Tây Hiếu,10,"52,6","48,1","65,0","122,8","239,4","292,3","365,5","434,9","668,6","549,8","123,0","50,0","2084,3"
88. Tây Hiếu,5,"63,4","54,1","72,6","157,4","274,4","313,3","393,4","499,4","706,0","643,8","151,3","66,9","2260,2"
89. Quỳnh Lưu,95,"1,2","2,8","6,4","6,0","22,3","14,6","17,7","73,6","123,4","42,4","4,5","0,8","1109,3"
89. Quỳnh Lưu,90,"1,8","3,0","8,7","8,4","28,8","28,6","27,0","94,0","163,4","86,0","13,4","2,2","1139,9"
89. Quỳnh Lưu,80,"4,2","6,3","13,0","18,2","39,7","52,1","43,7","121,8","203,9","117,5","20,2","4,5","1286,0"
89. Quỳnh Lưu,70,"5,0","7,4","16,9","34,4","59,2","68,3","67,9","188,9","237,3","182,5","29,1","8,0","1421,5"
89. Quỳnh Lưu,60,"8,3","10,5","19,8","43,5","67,6","80,6","84,3","222,2","305,4","231,4","34,6","13,3","1503,2"
89. Quỳnh Lưu,50,"11,5","13,3","25,6","50,9","75,0","98,4","101,3","236,5","368,4","286,0","57,8","24,0","1550,5"
89. Quỳnh Lưu,40,"14,7","17,0","31,5","59,7","99,9","138,6","113,8","259,4","440,1","369,1","90,5","32,0","1691,8"
89. Quỳnh Lưu,30,"20,0","24,9","38,9","63,8","116,6","178,8","159,2","293,8","515,0","437,6","102,8","38,9","1798,2"
89. Quỳnh Lưu,20,"33,2","34,8","46,6","81,6","165,6","215,8","224,9","312,8","572,9","555,4","144,0","54,8","1948,5"
89. Quỳnh Lưu,10,"43,4","53,7","56,3","105,2","236,4","257,1","305,7","410,8","665,2","715,6","214,2","71,1","2109,8"
89. Quỳnh Lưu,5,"53,8","58,4","75,4","117,7","275,7","313,9","372,2","434,5","834,6","850,9","278,7","90,7","2260,8"
90. Con Cuông,95,"8,6","11,3","15,7","24,7","70,6","36,3","39,1","79,6","102,9","52,0","7,6","3,5","1238,9"
90. Con Cuông,90,"11,8","13,1","26,1","30,2","88,0","44,8","58,3","101,1","137,9","66,3","13,8","5,8","1280,0"
90. Con Cuông,80,"15,1","29,8","46,1","104,2","72,1","74,3","156,2","175,8","121,6","23,5","13,6","1390,0",
90. Con Cuông,70,"17,9","19,0","34,9","50,7","123,5","91,4","86,2","204,9","219,8","152,4","36,8","15,4","1447,3"
90. Con Cuông,60,"22,9","23,0","37,4","62,3","147,2","111,5","125,4","230,3","255,6","210,3","51,6","20,9","1550,0"
90. Con Cuông,50,"31,0","26,5","45,5","71,7","161,4","137,0","142,3","262,2","314,0","249,0","60,0","28,0","1620,1"
90. Con Cuông,40,"35,6","31,6","51,0","80,5","174,4","150,9","167,2","279,1","348,6","275,3","73,6","35,8","1773,0"
90. Con Cuông,30,"40,6","39,5","55,9","99,0","211,0","176,5","217,2","314,0","414,5","368,6","103,9","41,0","1876,1"
90. Con Cuông,20,"48,2","55,5","68,0","126,3","261,2","237,7","268,3","377,5","469,2","418,3","121,2","52,0","2068,2"
90. Con Cuông,10,"76,1","69,2","80,5","171,1","294,0","286,8","357,6","430,5","649,0","559,7","164,7","62,2","2233,5"
90. Con Cuông,5,"90,5","75,6","105,2","200,7","318,2","302,3","425,6","450,7","715,3","660,9","202,4","76,1","2480,5"
91. Đô Lương,95,"5,7","10,7","12,1","17,2","52,7","35,6","40,2","77,1","140,7","86,0","13,2","3,4","1216,8"
91. Đô Lương,90,"11,0","12,0","15,7","21,2","61,5","54,2","45,6","113,1","153,3","94,5","19,5","7,5","1320,0"
91. Đô Lương,80,"13,6","15,8","21,1","35,0","79,2","66,2","60,7","165,7","215,6","133,5","25,3","11,6","1446,2"
91. Đô Lương,70,"20,7","18,0","27,0","39,8","118,4","78,9","78,8","173,2","248,6","200,2","39,4","18,3","1578,5"
91. Đô Lương,60,"22,3","21,8","31,4","65,0","130,6","102,0","97,5","197,2","296,5","235,4","66,0","27,3","1626,3"
91. Đô Lương,50,"27,3","26,8","36,8","78,0","143,9","122,4","111,1","225,0","362,8","278,1","78,4","30,2","1768,4"
91. Đô Lương,40,"31,2","28,1","43,0","86,2","174,3","144,2","138,2","290,4","410,0","386,1","108,4","40,1","1861,1"
91. Đô Lương,30,"37,9","35,9","47,9","104,5","184,2","162,0","165,5","317,1","461,2","484,1","132,6","48,8","2036,7"
91. Đô Lương,20,"43,7","44,4","51,1","119,4","224,9","221,4","231,1","376,9","559,2","556,4","183,7","55,4","2143,4"
91. Đô Lương,10,"64,4","56,4","77,3","150,0","327,4","287,9","344,3","420,3","644,4","622,0","206,6","71,2","2307,9"
91. Đô Lương,5,"73,3","66,9","96,5","160,9","345,0","318,3","466,6","455,0","776,8","704,4","264,5","87,9","2348,0"
92. Tương Dương,95,"0,1","0,0","0,9","30,3","62,2","53,0","44,6","106,0","74,6","25,1","1,6","0,1","912,4"
92. Tương Dương,90,"0,3","0,2","2,3","34,7","72,8","62,8","61,0","117,2","88,1","43,9","2,9","0,3","946,3"
92. Tương Dương,80,"0,7","2,2","10,5","42,1","108,3","75,4","79,6","145,8","114,0","56,4","9,2","1,0","1052,8"
92. Tương Dương,70,"1,7","3,2","16,8","54,1","119,3","87,0","94,7","167,3","140,9","93,2","13,8","3,0","1171,2"
92. Tương Dương,60,"3,0","4,2","23,5","61,9","131,7","110,1","133,1","190,2","171,2","105,6","19,2","4,2","1260,7"
92. Tương Dương,50,"4,2","8,6","28,0","72,0","151,9","128,6","162,3","211,0","203,6","139,1","23,7","6,5","1310,4"
92. Tương Dương,40,"7,3","11,9","37,8","81,6","157,7","157,2","174,0","232,2","242,8","169,9","28,3","7,9","1347,2"
92. Tương Dương,30,"13,2","17,9","47,1","90,5","175,0","192,0","193,2","268,4","312,8","196,6","36,4","12,3","1389,9"
92. Tương Dương,20,"18,0","26,9","59,6","107,6","202,9","209,0","224,4","328,1","377,3","221,9","46,6","16,6","1487,4"
92. Tương Dương,10,"32,5","34,0","82,3","135,0","241,6","265,9","286,4","373,2","466,6","276,4","71,9","32,9","1594,0"
92. Tương Dương,5,"57,2","48,5","90,2","182,1","252,8","296,9","369,7","414,8","489,3","303,0","106,1","39,0","1636,3"
93. Vinh,95,"10,8","15,6","14,7","17,5","26,1","3,2","15,3","43,9","96,2","99,1","31,8","14,1","1365,2"
93. Vinh,90,"21,6","18,1","19,6","47,1","9,8","20,4","62,6","116,6","154,8","44,2","18,5","1468,3",
93. Vinh,80,"27,6","24,3","28,8","74,6","38,6","35,2","115,8","197,8","222,3","58,4","26,3","1570,4",
93. Vinh,70,"37,0","28,6","34,9","37,0","81,1","55,9","50,9","143,7","319,8","304,2","74,0","35,2","1731,1"
93. Vinh,60,"43,8","34,8","38,8","44,2","101,3","65,7","74,8","159,4","380,1","350,9","113,6","49,5","1928,5"
93. Vinh,50,"53,5","38,1","46,8","52,7","118,6","83,2","99,5","176,2","394,3","421,5","135,7","56,6","2034,5"
93. Vinh,40,"57,7","42,5","52,2","72,0","125,9","104,2","113,5","215,2","497,7","514,5","156,4","63,9","2176,0"
93. Vinh,30,"61,2","47,4","54,7","80,3","173,1","125,7","119,8","299,4","550,7","644,0","180,1","76,3","2317,0"
93. Vinh,20,"65,3","53,9","63,1","91,6","207,5","160,5","159,2","354,0","739,3","816,3","227,8","92,9","2424,4"
93. Vinh,10,"84,6","64,5","84,0","113,6","270,3","223,1","312,2","429,5","821,1","943,6","291,3","147,8","2575,2"
93. Vinh,5,"93,7","69,1","97,1","121,6","323,5","280,9","388,0","496,2","915,4","1262,7","456,7","197,1","2772,8"
94. Hương Khê,95,"15,0","16,6","21,1","18,9","45,5","37,7","31,0","65,6","132,7","125,1","41,6","18,2","1638,3"
94. Hương Khê,90,"19,4","22,7","25,7","25,6","91,4","48,7","36,0","97,6","173,9","215,7","56,4","23,0","1784,1"
94. Hương Khê,80,"22,1","30,3","36,0","45,4","123,8","72,5","66,4","156,6","249,8","336,5","75,3","34,7","1982,0"
94. Hương Khê,70,"28,3","33,9","44,9","65,6","145,3","86,7","80,1","184,1","301,7","407,8","103,4","46,2","2128,0"
94. Hương Khê,60,"34,4","35,3","49,2","70,9","160,6","113,9","96,7","217,6","369,0","467,3","126,6","55,0","2227,6"
94. Hương Khê,50,"39,8","40,2","53,8","83,0","173,0","134,5","113,9","227,0","430,1","526,7","168,1","61,1","2367,6"
94. Hương Khê,40,"45,1","45,8","66,9","98,4","201,2","160,1","138,6","252,7","546,3","590,7","211,0","72,5","2404,2"
94. Hương Khê,30,"52,4","55,6","80,5","103,7","240,4","190,4","155,0","380,2","640,2","637,2","233,1","81,4","2593,8"
94. Hương Khê,20,"61,7","70,2","87,6","140,5","296,7","246,1","213,6","433,2","731,3","809,5","253,1","91,0","2695,2"
94. Hương Khê,10,"76,7","81,1","119,3","182,0","364,6","289,5","344,8","482,0","852,6","1016,1","385,5","145,4","3366,3"
94. Hương Khê,5,"87,0","87,2","144,6","198,2","413,5","305,1","473,3","613,3","945,7","1108,7","523,9","161,1","3554,8"
95. Kỳ Anh,95,"54,4","23,4","21,9","9,3","22,2","12,6","6,2","25,2","179,4","159,0","84,7","66,9","1889,0"
95. Kỳ Anh,90,"59,9","32,2","23,9","13,5","36,8","22,5","9,9","48,7","231,6","238,2","127,4","79,6","1978,6"
