"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Đắk Lắk,Ea Súp,-,19/8/2000
Đắk Lắk,Ea Súp,-,7/10/2009
Đắk Nông,28/7/1999
Đắk Nông,Tuy Đức,-,11/5/2008
Đồng Nai,Tân Phú,-,17/8/2002
Đồng Nai,Tân Phú,-,28/4/1998
Gia Lai,TP. Pleiku,-,3/1/1995
Gia Lai,Chư Prông,-,29/6/2011
Hà Giang,Bắc Mễ,-,25/7/1998
Hà Giang,Bắc Mễ,-,16/6/1993
Hà Giang,Bắc Mễ,-,5/6/1993
Hà Giang,Bắc Mễ,-,7/6/2001
Hà Giang,Bắc Mễ,-,18/7/2004
Hà Giang,Bắc Mễ,-,17/7/2006
Hà Giang,Bắc Mễ,-,8/7/2006
Hà Giang,Bắc Mễ,-,29/6/2007
Hà Giang,Bắc Mễ,-,3/6/1995
Hà Giang,Bắc Mễ,-,23/6/2012
Hà Giang,Bắc Quang,-,21/7/2000
Hà Giang,Bắc Quang,-,5/6/1993
Hà Giang,Bắc Quang,-,16/6/1993
Hà Giang,Bắc Quang,-,12/7/1997
Hà Giang,Bắc Quang,-,3/6/1995
Hà Giang,Bắc Quang,-,25/7-4/8/2015
Hà Giang,Đồng Văn,Lô,5/6/1993
Hà Giang,Đồng Văn,-,
Hà Giang,Đồng Văn,-,18/7/2004
Hà Giang,Đồng Văn,-,15/5/2004
Hà Giang,Đồng Văn,-,15/7/2008
Hà Giang,Hoàng Su Phì,-,17/6/2007
Hà Giang,Hoàng Su Phì,-,25/7/2006
Hà Giang,Hoàng Su Phì,-,20/6/2007
Hà Giang,Hoàng Su Phì,-,3/6/1995
Hà Giang,Hoàng Su Phì,-,7/6/2002
Hà Giang,Hoàng Su Phì,-,5/6/1993
Hà Giang,Hoàng Su Phì,-,7/10/1996
Hà Giang,Hoàng Su Phì,-,23/7/2008
Hà Giang,Hoàng Su Phì,-,19/6/2009
Hà Giang,Hoàng Su Phì,-,4/7/2009
Hà Giang,Hoàng Su Phì,-,29/7/2016
Hà Giang,Hoàng Su Phì,-,9/7/2017
Hà Giang,Mèo Vạc,Lô,5/6/1993
Hà Giang,Mèo Vạc,-,18/7/2004
Hà Giang,Mèo Vạc,-,30/8/2017
Hà Giang,Quản Bạ,Lô,5/6/1993
Hà Giang,Quang Bình,-,29/6/2006
Hà Giang,Quang Bình,-,25/7-4/8/2015
Hà Giang,TP. Hà Giang,-,21/7/2000
Hà Giang,TP. Hà Giang,Lô,5/6/1993
Hà Giang,"TP. Hà Giang, Đồng Văn, Xín Mần, Hoàng Su Phì, Bắc Quang",-,19-20/7/2013
Hà Giang,Vị Xuyên,-,28/5/1989
Hà Giang,Vị Xuyên,Lô,5/6/1993
Hà Giang,Vị Xuyên,-,21/7/2000
