Giờ,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
Trạm Ba Vì,,,,,,,,,,,,
19,85,90,88,83,80,87,89,85,83,80,,
20,87,91,92,90,86,83,90,91,87,85,82,
21,88,92,91,88,85,91,92,89,87,84,,
22,89,92,93,92,89,87,92,93,90,88,86,
23,90,93,92,89,88,92,93,90,89,87,,
24,91,93,94,93,90,89,93,94,91,89,88,
Trạm Thái Nguyên,,,,,,,,,,,,
1,85,86,89,88,89,90,92,90,87,86,83,
2,86,87,89,90,89,90,91,92,91,88,86,84
3,87,90,89,90,92,93,92,89,87,84,,
4,87,90,91,90,91,92,93,92,89,87,84,
5,87,91,92,93,92,89,87,85,,,,
6,87,91,92,91,93,90,88,85,,,,
7,87,88,91,90,91,93,92,89,87,85,,
8,86,89,88,85,87,88,87,84,83,82,,
9,83,84,87,85,81,83,82,78,79,77,,
10,78,80,84,81,77,79,78,76,71,73,70,
11,74,76,81,78,74,73,75,72,66,68,65,
12,70,73,78,76,71,70,72,71,69,63,65,62
13,68,70,76,74,68,67,70,67,62,63,60,
14,67,69,75,73,67,66,69,67,60,62,58,
15,67,68,74,72,66,65,69,70,68,60,62,58
16,67,68,75,73,66,69,70,69,61,63,59,
17,69,70,76,75,68,70,72,71,64,66,61,
18,72,73,79,78,71,74,76,74,69,71,66,
19,75,76,81,76,78,80,75,70,,,,
20,78,79,83,80,79,82,84,83,79,78,74,
21,80,81,85,82,85,87,86,82,81,77,,
22,82,83,86,87,85,84,87,88,87,84,82,78
23,83,84,87,88,86,88,90,88,85,84,80,
24,84,85,88,87,88,89,91,89,87,85,81,
Trạm Thanh Hóa,,,,,,,,,,,,
1,88,89,92,89,84,88,91,89,88,85,,
2,88,89,92,93,90,85,88,91,90,89,86,
3,89,90,92,93,90,85,89,91,92,90,89,86
4,89,90,93,91,86,89,92,91,89,87,,
5,89,90,93,91,86,89,92,91,89,87,,
6,89,91,93,91,87,90,93,91,88,87,,
7,89,91,93,90,85,89,92,90,88,86,,
8,88,89,91,90,85,81,84,88,89,86,85,84
9,85,87,89,86,80,76,80,83,85,81,80,
10,81,83,86,83,75,71,75,79,80,75,,
11,78,80,83,80,72,67,71,76,77,71,70,
12,75,77,81,79,71,65,70,73,75,69,67,
13,74,75,80,78,71,64,69,73,74,68,66,
14,73,75,80,79,72,65,70,73,74,68,65,
15,74,76,81,80,73,65,70,74,75,69,66,
16,75,78,83,82,75,68,72,76,71,68,,
17,77,80,85,84,78,71,74,78,79,74,71,
18,81,83,87,82,75,77,81,82,79,75,,
19,83,85,89,90,86,78,81,84,86,82,78,
20,85,86,90,91,87,80,83,86,87,84,83,80
21,86,91,87,81,85,88,85,84,82,,,
22,87,91,88,82,86,89,87,85,83,,,
23,87,88,91,92,88,83,86,89,90,88,86,84
24,88,92,88,83,87,90,88,87,84,,,
Trạm Tuy Hòa,,,,,,,,,,,,
1,87,88,87,86,79,80,81,86,90,91,87,
2,87,88,89,88,87,79,80,81,86,90,91,87
3,87,88,89,87,79,80,82,86,90,91,87,
4,88,89,90,89,87,80,82,86,91,88,,
5,88,89,90,88,80,82,86,91,88,,,
6,88,89,90,88,81,80,82,86,91,92,88,
7,88,89,90,89,85,78,80,85,90,91,88,
8,85,86,81,76,72,73,75,78,85,88,86,
9,81,80,78,73,68,67,69,73,80,85,82,
10,77,74,72,67,63,64,67,76,82,79,,
11,74,71,69,64,61,60,61,60,64,74,80,78
12,73,69,67,63,60,58,59,63,73,80,77,
13,73,68,67,64,61,57,58,62,73,79,76,
14,73,69,67,64,63,57,59,63,73,80,77,
15,74,70,69,66,65,58,59,60,65,75,81,78
16,76,73,72,70,68,60,62,63,68,77,83,79
17,79,76,75,74,72,63,65,66,71,79,85,81
18,82,81,80,78,76,67,69,70,76,82,87,83
19,83,82,81,79,71,73,74,78,84,88,84,
20,84,83,82,81,73,75,76,80,85,89,85,
21,85,84,83,82,75,77,78,82,86,89,85,
22,86,85,84,83,76,78,79,84,87,89,86,
23,86,85,84,77,79,80,85,88,90,86,,
24,87,86,87,86,85,78,79,81,86,89,91,86
Trạm Tuyên Quang,,,,,,,,,,,,
1,88,87,88,87,86,87,89,90,91,89,88,
2,89,88,89,88,87,88,90,91,92,90,88,
3,90,88,90,89,90,92,90,89,,,,
4,90,89,90,91,93,91,89,,,,,
5,90,89,90,91,92,93,91,89,,,,
6,90,89,91,90,92,93,94,92,91,89,,
7,90,89,91,90,92,93,92,91,89,,,
8,90,88,90,87,85,86,87,89,88,87,,
9,87,85,87,84,81,83,84,82,84,83,,
10,82,80,82,80,76,78,79,76,77,76,,
11,77,76,78,77,72,73,74,75,74,71,73,70
12,73,72,75,73,69,70,71,72,71,67,68,65
13,70,69,72,71,67,69,65,66,63,,,
14,68,67,71,69,65,68,63,64,62,,,
15,68,67,70,68,64,65,67,68,63,64,61,
16,68,67,71,68,64,67,68,69,64,65,62,
17,70,69,73,71,66,70,71,67,69,65,,
18,75,72,76,74,70,69,73,75,76,75,76,72
19,79,76,79,78,74,77,80,81,79,80,77,
20,82,79,81,80,77,78,81,83,84,83,81,
21,84,81,83,82,80,81,83,85,86,85,83,
22,86,83,85,84,82,83,85,87,88,87,85,
23,87,85,86,85,84,86,89,88,86,,,
24,88,86,87,86,85,86,88,90,88,87,,
Trạm Uông Bí,,,,,,,,,,,,
1,85,89,90,89,90,92,90,86,85,82,,
2,85,86,89,90,91,90,92,91,87,85,83,
3,85,86,90,91,90,93,91,87,85,83,,
4,86,90,91,90,93,91,87,85,83,,,
5,86,90,91,90,91,93,91,87,85,82,,
6,86,90,91,90,91,93,91,86,85,82,,
7,86,90,91,89,92,90,86,85,82,,,
8,84,85,88,87,84,83,84,87,84,78,79,78
9,80,82,86,84,80,82,79,69,71,,,
10,75,78,83,82,77,79,76,64,66,65,,
11,72,75,81,80,75,77,74,62,63,61,,
12,70,74,80,79,74,73,74,75,73,61,59,
13,69,72,79,74,72,73,74,73,60,61,59,
14,68,71,78,73,72,73,74,73,61,58,,
15,69,71,78,74,73,75,74,62,59,,,
16,70,72,79,74,73,74,76,75,65,61,,
17,72,74,80,76,79,78,69,65,,,,
18,76,77,82,79,78,81,74,71,,,,
19,79,80,84,85,83,82,85,78,77,74,,
20,81,86,87,85,84,88,87,81,80,77,,
21,82,83,87,88,86,87,86,89,88,82,81,79
22,83,84,87,88,87,88,87,90,89,83,82,80
23,84,88,89,88,89,88,91,90,85,83,81,
24,85,88,89,88,89,91,90,86,84,82,,
Trạm Việt Trì,,,,,,,,,,,,
1,88,86,88,89,88,87,89,87,86,84,,
2,88,87,89,90,89,90,91,90,87,88,85,
3,89,88,89,91,90,91,88,86,,,,
4,90,89,90,91,90,91,92,91,89,87,,
5,90,89,90,91,90,91,92,89,87,,,
6,91,89,90,92,91,92,93,92,90,88,,
7,91,90,91,90,89,91,92,90,88,,,
8,91,89,90,89,86,85,87,88,86,87,,
9,88,87,88,86,81,80,82,83,81,82,83,
10,85,83,84,82,77,76,78,79,78,75,77,
11,80,78,81,79,73,72,74,75,73,70,72,
12,76,75,77,75,69,71,72,70,66,68,67,
13,73,71,74,72,67,66,69,67,62,65,64,
14,71,69,72,70,65,64,67,66,60,63,62,
15,69,68,72,70,64,62,67,66,65,60,62,61
16,69,68,72,71,64,63,67,66,61,63,62,
17,71,69,74,73,66,64,68,69,68,63,65,64
18,74,72,76,70,68,71,72,68,70,68,,
19,78,76,79,80,74,73,75,76,77,73,74,72
20,80,78,82,78,77,79,80,81,77,78,75,
21,83,80,84,81,80,82,83,80,81,78,,
22,84,82,85,83,85,82,83,80,,,,
23,86,84,86,87,85,84,86,87,84,82,,
24,87,85,87,88,87,86,88,86,85,83,,
Trạm Vĩnh Yên,,,,,,,,,,,,
1,86,87,88,87,89,90,88,85,83,,,
2,87,88,89,88,90,89,86,83,,,,
3,87,88,89,91,89,87,86,83,,,,
4,88,89,90,91,90,87,84,,,,,
5,89,90,91,92,90,88,87,84,,,,
6,89,90,91,90,92,91,88,87,85,,,
7,90,89,90,89,90,92,90,88,87,86,,
8,89,88,89,88,85,84,87,88,87,84,85,
9,86,85,87,84,81,79,82,83,81,78,80,81
10,82,84,81,77,75,78,79,76,72,75,76,
11,78,80,77,73,72,74,76,72,68,70,71,
12,74,75,77,74,70,69,72,73,70,64,67,68
13,72,75,72,67,66,70,71,69,63,65,66,
14,71,73,71,65,64,69,70,67,61,63,64,
15,70,72,70,64,63,68,70,67,61,63,,
16,70,73,71,65,64,68,70,68,63,64,,
17,72,75,73,67,66,69,71,70,65,67,66,
18,75,78,77,71,70,73,75,74,70,72,71,
19,78,81,80,76,75,77,79,78,75,76,75,
20,80,81,83,82,80,79,81,83,81,77,78,77
21,82,83,84,82,81,83,85,83,79,80,78,
22,83,84,86,85,84,83,85,86,85,81,82,80
23,84,86,87,86,85,87,86,83,81,,,
24,85,87,86,88,87,84,82,,,,,
Trạm Vinh,,,,,,,,,,,,
1,93,94,92,85,77,79,86,90,91,90,,
2,93,94,92,86,78,80,87,91,92,90,,
3,93,94,93,87,79,82,87,91,92,90,,
4,93,94,93,88,80,82,88,92,93,92,90,
5,93,95,93,88,80,83,88,92,93,92,91,
6,93,94,95,94,88,81,83,89,92,93,92,91
7,93,94,95,93,85,77,81,87,91,92,91,90
8,92,93,88,79,71,75,81,86,88,,,
9,89,84,73,66,70,76,82,83,84,,,
10,86,85,80,69,61,66,71,77,79,80,,
11,82,77,65,58,62,67,74,76,77,,,
12,80,79,80,75,64,57,60,65,72,74,75,
13,79,78,79,75,64,56,60,65,72,74,75,74
14,79,78,79,74,64,55,59,65,71,74,73,
15,80,78,80,75,64,56,60,66,72,75,74,
16,81,79,81,77,66,58,62,67,73,76,77,75
17,83,82,84,79,69,60,64,70,75,78,80,77
18,86,85,87,83,73,63,67,73,79,82,83,81
19,88,89,86,77,67,71,77,82,84,85,84,
20,90,89,91,87,79,70,74,79,84,86,87,86
21,91,90,92,89,81,72,75,81,86,88,87,
22,91,92,90,82,73,76,82,87,89,90,88,
23,92,93,90,83,74,78,84,88,90,91,89,
24,93,92,93,91,84,75,78,85,89,91,90,
Trạm Vũng Tàu,,,,,,,,,,,,
1,81,80,81,83,84,86,85,86,87,84,81,
2,81,82,80,81,84,85,86,87,85,82,,
3,82,81,82,85,86,87,88,86,83,,,
4,83,82,81,82,85,86,87,88,89,86,83,
5,83,81,82,86,87,88,89,87,84,,,
6,84,83,81,83,87,88,89,90,88,85,,
7,84,83,80,81,84,85,87,88,87,85,,
8,79,77,75,80,82,83,82,79,,,,
9,72,70,72,76,79,80,77,73,72,,,
10,67,66,67,68,73,76,77,76,74,69,68,
11,65,64,65,66,71,73,74,73,72,67,65,
12,63,64,65,69,70,71,70,67,64,,,
13,63,64,65,68,70,69,70,67,65,,,
14,64,65,68,70,69,70,71,68,65,,,
15,66,67,70,71,72,71,73,72,69,67,,
16,68,69,73,74,75,74,71,69,,,,
17,71,75,76,77,76,77,74,72,,,,
18,74,75,74,75,77,78,79,80,78,75,,
19,76,77,79,80,81,80,81,79,77,,,
20,77,79,78,80,81,82,80,78,,,,
21,78,79,80,81,83,82,83,81,79,,,
22,79,80,79,80,82,84,83,84,81,79,,
23,79,80,81,83,84,85,82,80,,,,
24,80,81,80,82,84,85,84,85,86,83,80,
Trạm Yên Bái,,,,,,,,,,,,
1,94,93,92,93,94,95,93,,,,,
2,95,94,93,94,95,93,94,,,,,
3,95,94,93,94,95,94,93,94,,,,
4,95,94,95,94,93,94,,,,,,
5,95,94,95,96,95,94,93,94,,,,
6,96,95,94,95,96,95,94,93,94,,,
7,96,95,94,95,94,93,94,,,,,
8,95,94,93,90,91,92,93,92,93,,,
9,93,92,90,86,87,88,86,87,90,,,
10,88,87,88,86,82,81,82,83,82,80,81,83
11,83,82,83,82,77,78,79,78,75,76,,
12,79,78,80,78,74,75,74,71,,,,
13,76,75,77,75,71,73,72,68,69,68,,
14,75,73,76,74,70,69,71,70,67,68,67,
15,74,73,76,74,70,68,70,67,68,66,,
16,75,73,76,74,70,69,71,68,70,67,,
17,77,75,78,76,72,71,74,73,74,72,74,71
18,81,79,81,80,75,74,77,78,80,81,83,79
19,86,84,85,84,80,82,84,87,88,86,,
20,90,87,88,87,85,87,89,91,89,,,
21,92,90,89,88,90,91,92,,,,,
22,93,91,89,90,91,93,92,,,,,
23,93,92,90,91,92,94,93,,,,,
24,94,93,92,91,92,93,94,93,94,,,
