Giờ,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
Trạm Ba Vì,,,,,,,,,,,,
7,90,93,92,89,91,93,91,89,87,,,
8,89,90,92,91,88,86,88,90,88,87,85,
9,86,87,90,88,83,80,83,85,81,80,,
10,81,83,87,84,78,75,79,80,74,75,74,
11,78,80,84,81,74,71,75,77,76,69,70,69
12,74,76,82,79,71,68,72,74,66,67,66,
13,72,73,80,77,69,65,70,72,64,65,64,
14,71,72,79,75,68,64,69,71,72,64,62,
15,70,71,79,75,68,64,68,71,72,64,62,
16,71,72,80,76,69,65,69,72,65,63,,
17,73,74,81,79,72,68,71,74,75,68,69,66
18,76,77,84,82,76,72,74,77,79,74,71,
19,80,81,87,86,81,77,79,82,84,78,76,
20,83,88,85,81,83,85,86,81,79,,,
21,85,90,89,87,84,86,88,83,81,,,
22,86,90,91,89,86,87,89,90,85,82,,
23,87,88,91,90,87,89,91,87,86,84,,
24,89,92,91,89,90,92,88,87,85,,,
Trạm Kon Tum,,,,,,,,,,,,
1,75,76,80,87,91,92,87,82,78,,,
2,76,77,82,89,92,93,92,88,84,80,,
3,78,79,83,89,93,89,85,81,,,,
4,79,80,84,90,93,94,93,90,86,82,,
5,81,85,91,93,94,91,87,83,,,,
6,82,85,91,94,91,88,85,,,,,
7,83,82,81,84,89,92,93,90,86,84,,
8,75,74,77,83,86,89,88,83,77,76,,
9,66,67,69,77,81,83,82,76,70,68,,
10,59,62,70,76,78,77,76,70,64,61,,
11,55,53,54,57,65,71,73,72,65,61,57,
12,51,49,52,61,68,70,69,68,62,58,55,
13,49,45,49,58,66,68,67,66,61,58,54,
14,48,44,43,47,57,65,67,66,65,60,57,53
15,48,43,47,57,66,68,67,68,62,58,54,
16,49,44,49,60,68,71,70,71,64,60,56,
17,53,48,49,54,65,72,74,76,69,64,60,
18,59,54,55,60,70,76,78,79,80,74,69,65
19,64,60,61,66,75,81,83,84,77,72,69,
20,68,65,70,78,84,86,80,75,72,,,
