Hướng,Tháng,Giờ
Hướng,Tháng,6,7,8,9,10,11,12,13,14,15,16,17,18
Trạm Sơn La
Đông Nam,4,12,"52,1","82,3","102,2","112,4","114,3","109,7","100,4","87,8","73,2","54,3","31,8","6,8"
Đông Nam,5,30,"77,2","108,9","128,4","137,8","138,9","133,9","124,7","113,2","98,1","77,6","51,8","19,3"
Đông Nam,6,"34,4","79,5","110,2","129,4","138,6","140,0","135,4","126,8","116,2","101,3","81,0","55,5","23,1"
Đông Nam,7,"31,1","78,8","110,9","130,7","140,0","141,0","135,8","126,5","114,9","99,7","79,1","53,0","20,1"
Đông Nam,8,"17,6","67,9","102,3","123,6","133,5","134,1","128,0","117,3","103,4","87,8","67,0","41,4","10,1"
Đông Nam,9,0,"55,3","92,7","115,6","126,2","126,8","119,9","107,8","92,4","74,6","54,2","29,4",0
Đông Nam,10,0,"49,9","92,2","116,9","128,0","128,3","120,7","107,5","90,7","71,1","49,3","23,8",0
Đông Nam,11,0,"42,1","90,7","117,4","129,0","129,3","121,3","107,5","89,6","69,0","45,6","18,3",0
Đông Nam,12,0,"23,0","61,9","86,4","98,6","100,8","95,1","83,7","68,4","50,4","30,7","9,7",0
Nam,1,0,"27,2","65,8","95,1","116,4","129,5",134,"129,5","116,4","95,1","65,8","27,2",0
Nam,2,0,"28,5","60,3","86,4","106,2","118,6","122,9","118,6","106,2","86,4","60,3","28,5",0
Nam,3,0,"28,0","54,3","77,2","95,0","106,3","110,2","106,3","95,0","77,2","54,3","28,0",0
Nam,4,"7,1","33,7","58,5","80,0","96,8","107,5","111,1","107,5","96,8","80,0","58,5","33,7","7,1"
Nam,5,"19,3","52,6","79,9","102,3","119,3","130,0","133,6","130,0","119,3","102,3","79,9","52,6","19,3"
Nam,6,"23,1","55,5","82,2","104,1","120,6","130,9","134,4","130,9","120,6","104,1","82,2","55,5","23,1"
Nam,7,"20,1","53,6","81,2","103,8","120,9","131,7","135,3","131,7","120,9","103,8","81,2","53,6","20,1"
Nam,8,"10,4","43,7","72,1","96,0","114,2","125,6","129,6","125,6","114,2","96,0","72,1","43,7","10,4"
