ma_hieu,loai_vat_lieu_quy_cach,mac_be_tong,xi_mang_kg,cat_vang_m3,da_dam_m3,nuoc_lit,phu_gia
11.11327,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2 ÷cm]",400,504,"0,463","0,756",180,siêu dẻo
11.11341,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],100,213,"0,530","0,864",180,-
11.11342,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],150,260,"0,519","0,847",181,-
11.11343,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],200,307,"0,508","0,829",181,-
11.11344,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],250,352,"0,498","0,812",181,-
11.11345,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],300,396,"0,488","0,796",180,dẻo hoá
11.11346,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],350,429,"0,484","0,790",175,dẻo hóa
11.11347,Đá d = 40mm max [(40÷70)% cỡ 1x2cm ; (60÷30)% cỡ 2x4 cm],400,476,"0,477","0,778",170,siêu dẻo
11.11371,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],100,201,"0,540","0,881",170,-
11.11372,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],150,245,"0,529","0,864",170,-
11.11373,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],200,290,"0,519","0,847",170,-
11.11374,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],250,333,"0,509","0,831",171,-
11.11375,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],300,375,"0,499","0,815",171,-
11.11376,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],350,392,"0,503","0,821",160,dẻo hóa
11.11377,Đá d = 70mm max [(40÷70)% cỡ 2x4cm ; (60÷30)% cỡ 4x7 cm],400,448,"0,490","0,800",160,siêu dẻo
11.11411,"Đá d = 10mm max (Cỡ 0,5x1cm)",100,236,"0,511","0,833",200,dẻo hóa
11.11412,"Đá d = 10mm max (Cỡ 0,5x1cm)",150,288,"0,499","0,814",200,dẻo hóa
11.11413,"Đá d = 10mm max (Cỡ 0,5x1cm)",200,340,"0,487","0,794",200,dẻo hóa
11.11414,"Đá d = 10mm max (Cỡ 0,5x1cm)",250,390,"0,475","0,775",200,dẻo hóa
11.11415,"Đá d = 10mm max (Cỡ 0,5x1cm)",300,440,"0,464","0,757",200,siêu dẻo
11.11416,"Đá d = 10mm max (Cỡ 0,5x1cm)",350,466,"0,465","0,759",190,siêu dẻo
11.11417,"Đá d = 10mm max (Cỡ 0,5x1cm)",400,518,"0,456","0,745",185,Poly
11.11421,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",100,234,"0,512","0,835",199,-
11.11422,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",150,286,"0,500","0,816",199,-
11.11423,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",200,338,"0,488","0,796",199,-
11.11424,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",250,388,"0,477","0,778",199,dẻo hóa
11.11425,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",300,418,"0,476","0,776",190,dẻo hóa
11.11426,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",350,453,"0,471","0,769",185,siêu dẻo
11.11427,"Đá dmax = 20mm [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",400,504,"0,463","0,756",180,siêu dẻo
11.11441,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],100,222,"0,522","0,852",188,-
11.11442,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],150,271,"0,511","0,833",189,-
11.11443,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],200,321,"0,499","0,815",189,-
11.11444,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],250,368,"0,488","0,797",189,-
11.11445,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],300,396,"0,488","0,796",180,-
11.11446,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],350,429,"0,484","0,790",175,dẻo hóa
11.11447,Đá dmax = 40mm [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],400,476,"0,477","0,778",170,siêu dẻo
11.11471,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],100,210,"0,532","0,868",178,-
11.11472,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],150,257,"0,521","0,850",178,-
11.11473,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],200,303,"0,510",0.833,178,-
11.11474,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],250,348,"0,500","0,816",179,-
11.11475,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],300,374,"0,500","0,816",170,dẻo hóa
11.11476,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],350,404,"0,497","0,810",165,siêu dẻo
11.11477,Đá dmax = 70mm [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],400,448,"0,490","0,800",160,siêu dẻo
11.11511,"Đá d = 10mm max (Cỡ 0,5x1cm)",100,236,"0,511","0,833",200,siêu dẻo
11.11512,"Đá d = 10mm max (Cỡ 0,5x1cm)",150,288,"0,499","0,814",200,siêu dẻo
11.11513,"Đá d = 10mm max (Cỡ 0,5x1cm)",200,340,"0,487","0,794",200,siêu dẻo
11.11514,"Đá d = 10mm max (Cỡ 0,5x1cm)",250,390,"0,475","0,775",200,siêu dẻo
11.11515,"Đá d = 10mm max (Cỡ 0,5x1cm)",300,429,"0,470","0,767",195,poly
11.11516,"Đá d = 10mm max (Cỡ 0,5x1cm)",350,466,"0,465","0,759",190,poly
11.1517,"Đá d = 10mm max (Cỡ 0,5x1cm)",400,518,"0,456","0,745",185,poly
11.11521,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",100,236,"0,511","0,833",200,dẻo hóa
11.11522,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",150,288,"0,499","0,814",200,dẻo hoá
11.11523,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",200,340,"0,487","0,794",200,dẻo hoá
11.11524,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",250,390,"0,475","0,775",200,dẻo hoá
11.11525,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",300,418,"0,476","0,776",190,siêu dẻo
11.11526,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",350,453,"0,471","0,769",185,poly
11.11257,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",400,504,"0,463","0,756",180,poly
11.11541,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],100,224,"0,520","0,849",190,dẻo hóa
11.11542,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],150,274,"0,509","0,831",190,dẻo hoá
11.115343,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],200,323,"0,498","0,812",190,dẻo hoá
11.115344,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],250,371,"0,487","0,794",190,dẻo hoá
11.11545,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],300,407,"0,482","0,786",185,siêu dẻo
11.11546,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],350,453,"0,471","0,769",185,siêu dẻo
11.11547,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],400,490,"0,470","0,767",175,poly
11.11571,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],100,220,"0,524","0,855",186,dẻo hóa
11.11572,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],150,268,"0,513","0,837",186,dẻo hoá
11.11573,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],200,317,"0,502","0,818",186,dẻo hoá
11.11574,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],250,364,"0,491","0,801",187,dẻo hoá
11.11575,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],300,385,"0,494","0,806",175,siêu dẻo
11.11576,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],350,417,"0,490","0,800",170,poly
11.11577,Đá d = 70mm max [(40÷70)% cỡ 2x4cm và (60÷30)% cỡ 4x7cm],400,462,"0,483","0,789",165,poly
11.11624,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",250,390,"0,475","0,775",200,siêu dẻo
11.11625,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",300,440,"0,464","0,757",200,siêu dẻo
11.11644,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],250,380,0 481,0 785,195,siêu dẻo
11.11645,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],300,429,"0,470","0,767",195,siêu dẻo
11.12111,"Đá d = 10mm max (Cỡ 0,5x1cm)",150,218,"0,526","0,858",185,-
11.12112,"Đá d = 10mm max (Cỡ 0,5x1cm)",200,259,"0,516","0,842",185,-
11.12113,"Đá d = 10mm max (Cỡ 0,5x1cm)",250,301,"0,506","0,826",185,-
11.12114,"Đá d = 10mm max (Cỡ 0,5x1cm)",300,342,"0,497","0,811",185,-
11.12115,"Đá d = 10mm max (Cỡ 0,5x1cm)",350,385,"0,487","0,795",185,-
11.12116,"Đá d = 10mm max (Cỡ 0,5x1cm)",400,425,"0,478","0,780",185,dẻo hóa
11.12117,"Đá d = 10mm max (Cỡ 0,5x1cm)",450,446,"0,480","0,783",175,siêu dẻo
11.12118,"Đá d = 10mm max (Cỡ 0,5x1cm)",500,485,"0,475","0,774",170,poly
11.12129,"Đá d = 10mm max (Cỡ 0,5x1cm)",600,552,"0,466","0,761",160,poly
11.12121,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",150,206,"0,536","0,874",175,-
11.12122,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",200,245,"0,527","0,859",175,-
11.12123,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",250,285,"0,517","0,844",175,-
11.12124,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",300,323,"0,508","0,830",175,-
11.12125,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",350,364,"0,499","0,814",175,-
11.12126,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",400,391,"0,496","0,810",170,dẻo hóa
11.12127,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",450,421,"0,493","0,804",165,siêu dẻo
11.12128,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",500,470,"0,481","0,786",165,siêu dẻo
11.12129,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",600,552,"0,466","0,761",160,poly
11.12141,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],150,194,"0,545","0,890",164,-
11.12142,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],200,230,"0,537","0,876",165,-
11.12143,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],250,268,"0,528","0,862",165,-
11.12144,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],300,305,"0,520","0,848",165,-
11.12145,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],350,343,"0,511","0,834",165,-
11.12146,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],400,379,"0,503","0,820",165,-
11.12147,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],450,420,"0,493","0,805",165,dẻo hóa
11.12148,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],500,456,"0,488","0,797",160,siêu dẻo
11.12149,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],600,535,"0,474","0,773",155,poly
11.12171,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],150,182,"0,555","0,906",154,-
11.12172,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],200,216,"0,547","0,893",154,-
11.12173,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],250,252,"0,539","0,880",154,-
