table_name,TT,Loại công trình,≤ 10,20,50,100,200,500,1.000,2.000,5.000,10.000,20.000,≥ 30.000,≤ 15,≥ 20.000,≤ 1,3,7,15,40,5,10,150,240,Cấp công trình,8.000,≥ 10.000,Công trình,≤ 5,≥ 500,Cấp điện áp,≥ 1.000,25,Chi phí tư vấn (chưa thuế GTGT) (tỷ đồng),Chi phí khảo sát (chưa thuế GTGT) (tỷ đồng),≥ 50
Bảng 2.7: Định mức chi phí thiết kế kỹ thuật của công trình dân dụng có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,457","2,121","1,818","1,379","1,156","0,888","0,595","0,518","0,463",,,,,,,,,,,,,,,Cấp III,"0,396","0,357",,,,,,,,,
Bảng 2.7: Định mức chi phí thiết kế kỹ thuật của công trình dân dụng có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"1,930","1,667","1,428","1,084","0,908","0,698","0,468","0,407","0,364",,,,,,,,,,,,,,,Cấp IV,"0,311","0,281",,,,,,,,,
Bảng 2.8: Định mức chi phí thiết kế bản vẽ thi công của công trình dân dụng không yêu cầu thiết kế kỹ thuật,,,"4,934","4,260","3,651","2,770","2,321","1,784","1,196","1,040","0,930",,,,,,,,,,,,,,,Cấp đặc biệt,"0,795","0,717",,,,,,,,,
Bảng 2.8: Định mức chi phí thiết kế bản vẽ thi công của công trình dân dụng không yêu cầu thiết kế kỹ thuật,,,"4,290","3,704","3,175","2,408","2,018","1,551","1,040","0,905","0,809",,,,,,,,,,,,,,,Cấp I,"0,691","0,624",,,,,,,,,
Bảng 2.8: Định mức chi phí thiết kế bản vẽ thi công của công trình dân dụng không yêu cầu thiết kế kỹ thuật,,,"3,647","3,148","2,698","2,047","1,716","1,318","0,884","0,769","0,688",,,,,,,,,,,,,,,Cấp II,"0,587","0,530",,,,,,,,,
Bảng 2.8: Định mức chi phí thiết kế bản vẽ thi công của công trình dân dụng không yêu cầu thiết kế kỹ thuật,,,"3,003","2,593","2,222","1,686","1,413","1,085","0,727","0,633","0,566",,,,,,,,,,,,,,,Cấp III,"0,484","0,436",,,,,,,,,
Bảng 2.8: Định mức chi phí thiết kế bản vẽ thi công của công trình dân dụng không yêu cầu thiết kế kỹ thuật,,,"2,360","2,037","1,746","1,324","1,110","0,853","0,572","0,498","0,445",,,,,,,,,,,,,,,Cấp IV,"0,380","0,343",,,,,,,,,
Bảng DD1: Định mức chi phí thiết kế nội thất công trình dân dụng,,,,"4,30","3,60","3,00","2,50",,,,,,,,,,,,,,,,"5,20",,,,,,Thiết kế nội thất công trình dân dụng,"6,50","2,00",,,,,,
Bảng 2.9: Định mức chi phí thiết kế kỹ thuật của công trình công nghiệp có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"4,210","3,764","3,071","2,489","1,925","1,561","0,988","0,859","0,768",,,,,,,,,,,,,,,Cấp đặc biệt,"0,660","0,592",,,,,,,,,
Bảng 2.9: Định mức chi phí thiết kế kỹ thuật của công trình công nghiệp có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,661","3,273","2,670","2,164","1,674","1,357","0,859","0,747","0,668",,,,,,,,,,,,,,,Cấp I,"0,574","0,515",,,,,,,,,
Bảng 2.9: Định mức chi phí thiết kế kỹ thuật của công trình công nghiệp có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,112","2,782","2,270","1,840","1,423","1,154","0,730","0,635","0,568",,,,,,,,,,,,,,,Cấp II,"0,488","0,437",,,,,,,,,
Bảng 2.9: Định mức chi phí thiết kế kỹ thuật của công trình công nghiệp có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,563","2,291","1,869","1,515","1,172","0,950","0,601","0,523","0,467",,,,,,,,,,,,,,,Cấp III,"0,402","0,360",,,,,,,,,
Bảng 2.9: Định mức chi phí thiết kế kỹ thuật của công trình công nghiệp có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,014","1,800","1,469","1,190","0,921","0,747","0,472","0,411","0,367",,,,,,,,,,,,,,,Cấp IV,"0,316","0,283",,,,,,,,,
Bảng 2.10: Định mức chi phí thiết kế bản vẽ thi công của công trình công nghiệp không yêu cầu thiết kế kỹ thuật,,,"5,145","4,601","3,753","3,042","2,353","1,908","1,207","1,050","0,939",,,,,,,,,,,,,,,Cấp đặc biệt,"0,807","0,723",,,,,,,,,
Bảng 2.10: Định mức chi phí thiết kế bản vẽ thi công của công trình công nghiệp không yêu cầu thiết kế kỹ thuật,,,"4,474","4,001","3,264","2,646","2,046","1,659","1,050","0,913","0,816",,,,,,,,,,,,,,,Cấp I,"0,702","0,629",,,,,,,,,
Bảng 2.10: Định mức chi phí thiết kế bản vẽ thi công của công trình công nghiệp không yêu cầu thiết kế kỹ thuật,,,"3,803","3,401","2,774","2,249","1,739","1,410","0,892","0,776","0,694",,,,,,,,,,,,,,,Cấp II,"0,596","0,535",,,,,,,,,
Bảng 2.10: Định mức chi phí thiết kế bản vẽ thi công của công trình công nghiệp không yêu cầu thiết kế kỹ thuật,,,"3,132","2,801","2,285","1,852","1,432","1,161","0,735","0,639","0,571",,,,,,,,,,,,,,,Cấp III,"0,491","0,440",,,,,,,,,
Bảng 2.10: Định mức chi phí thiết kế bản vẽ thi công của công trình công nghiệp không yêu cầu thiết kế kỹ thuật,,,"2,461","2,200","1,795","1,455","1,125","0,913","0,577","0,502","0,449",,,,,,,,,,,,,,,Cấp IV,"0,386","0,346",,,,,,,,,
Bảng CN1: Định mức chi phí thiết kế đường dây tải điện,,,,"1,30","1,10","0,95","0,80","0,70",,,,,,,,,,,,,,,"1,40",,,,,,,"1,70",,Cáp ngầm điện áp < 6KV,"0,60",,,,
Bảng CN1: Định mức chi phí thiết kế đường dây tải điện,,,,"1,60","1,40","1,20","1,00","0,85",,,,,,,,,,,,,,,"1,80",,,,,,,"2,20",,Đường dây điện áp 6KV - 35KV,"0,75",,,,
Bảng CN1: Định mức chi phí thiết kế đường dây tải điện,,,,"2,00","1,70","1,40","1,20","1,00",,,,,,,,,,,,,,,"2,30",,,,,,,"2,80",,Đường dây điện áp 110KV - 220KV,"0,85",,,,
Bảng CN1: Định mức chi phí thiết kế đường dây tải điện,,,,"2,50","2,10","1,75","1,50","1,25",,,,,,,,,,,,,,,"2,90",,,,,,,"3,50",,Đường dây điện áp 500KV,"1,05",,,,
Bảng CN2: Định mức chi phí thiết kế trạm biến áp,,,,"1,80","1,50","1,25","1,05","0,90",,,,,,,,,,,,,,,"2,10",,,,,,,"2,50",,Trạm biến áp điện áp ≤ 35KV,"0,75",,,,
Bảng CN2: Định mức chi phí thiết kế trạm biến áp,,,,"2,30","1,90","1,60","1,35","1,15",,,,,,,,,,,,,,,"2,70",,,,,,,"3,20",,Trạm biến áp điện áp 110KV - 220KV,"0,95",,,,
Bảng CN2: Định mức chi phí thiết kế trạm biến áp,,,,"2,90","2,40","2,00","1,70","1,45",,,,,,,,,,,,,,,"3,40",,,,,,,"4,00",,Trạm biến áp điện áp 500KV,"1,20",,,,
Bảng 2.11: Định mức chi phí thiết kế kỹ thuật của công trình giao thông có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,844","3,240","2,827","2,057","1,526","1,204","0,877","0,763","0,660",,,,,,,,,,,,,,,Cấp đặc biệt,"0,576","0,526",,,,,,,,,
Bảng 2.11: Định mức chi phí thiết kế kỹ thuật của công trình giao thông có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,342","2,817","2,458","1,789","1,327","1,047","0,763","0,664","0,574",,,,,,,,,,,,,,,Cấp I,"0,501","0,457",,,,,,,,,
Bảng 2.11: Định mức chi phí thiết kế kỹ thuật của công trình giao thông có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,841","2,395","2,090","1,520","1,128","0,890","0,648","0,564","0,488",,,,,,,,,,,,,,,Cấp II,"0,426","0,389",,,,,,,,,
Bảng 2.11: Định mức chi phí thiết kế kỹ thuật của công trình giao thông có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,340","1,972","1,721","1,252","0,929","0,733","0,534","0,465","0,402",,,,,,,,,,,,,,,Cấp III,"0,351","0,320",,,,,,,,,
Bảng 2.11: Định mức chi phí thiết kế kỹ thuật của công trình giao thông có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"1,838","1,550","1,352","0,984","0,730","0,576","0,420","0,365","0,316",,,,,,,,,,,,,,,Cấp IV,"0,276","0,252",,,,,,,,,
Bảng 2.12: Định mức chi phí thiết kế bản vẽ thi công của công trình giao thông không yêu cầu thiết kế kỹ thuật,,,"4,698","3,960","3,455","2,514","1,866","1,471","1,072","0,933","0,807",,,,,,,,,,,,,,,Cấp đặc biệt,"0,704","0,642",,,,,,,,,
Bảng 2.12: Định mức chi phí thiết kế bản vẽ thi công của công trình giao thông không yêu cầu thiết kế kỹ thuật,,,"4,085","3,443","3,004","2,186","1,622","1,279","0,932","0,811","0,702",,,,,,,,,,,,,,,Cấp I,"0,612","0,559",,,,,,,,,
Bảng 2.12: Định mức chi phí thiết kế bản vẽ thi công của công trình giao thông không yêu cầu thiết kế kỹ thuật,,,"3,472","2,927","2,554","1,858","1,379","1,087","0,792","0,690","0,596",,,,,,,,,,,,,,,Cấp II,"0,520","0,475",,,,,,,,,
Bảng 2.12: Định mức chi phí thiết kế bản vẽ thi công của công trình giao thông không yêu cầu thiết kế kỹ thuật,,,"2,860","2,411","2,103","1,530","1,136","0,895","0,653","0,568","0,491",,,,,,,,,,,,,,,Cấp III,"0,429","0,391",,,,,,,,,
Bảng 2.12: Định mức chi phí thiết kế bản vẽ thi công của công trình giao thông không yêu cầu thiết kế kỹ thuật,,,"2,247","1,894","1,653","1,202","0,892","0,704","0,513","0,446","0,386",,,,,,,,,,,,,,,Cấp IV,"0,337","0,307",,,,,,,,,
Bảng 2.13: Định mức chi phí thiết kế kỹ thuật của công trình phục vụ nông nghiệp và môi trường có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,118","2,750","2,490","1,854","1,427","1,140","0,757","0,660","0,588",,,,,,,,,,,,,,,Cấp đặc biệt,"0,504","0,454",,,,,,,,,
Bảng 2.13: Định mức chi phí thiết kế kỹ thuật của công trình phục vụ nông nghiệp và môi trường có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,711","2,392","2,165","1,612","1,241","0,991","0,658","0,574","0,511",,,,,,,,,,,,,,,Cấp I,"0,438","0,394",,,,,,,,,
Bảng 2.13: Định mức chi phí thiết kế kỹ thuật của công trình phục vụ nông nghiệp và môi trường có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,304","2,033","1,840","1,370","1,055","0,843","0,560","0,488","0,435",,,,,,,,,,,,,,,Cấp II,"0,373","0,335",,,,,,,,,
Bảng 2.13: Định mức chi phí thiết kế kỹ thuật của công trình phục vụ nông nghiệp và môi trường có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"1,898","1,674","1,516","1,129","0,869","0,694","0,461","0,402","0,358",,,,,,,,,,,,,,,Cấp III,"0,307","0,276",,,,,,,,,
Bảng 2.13: Định mức chi phí thiết kế kỹ thuật của công trình phục vụ nông nghiệp và môi trường có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"1,491","1,315","1,191","0,887","0,683","0,545","0,362","0,316","0,281",,,,,,,,,,,,,,,Cấp IV,"0,241","0,217",,,,,,,,,
Bảng 2.14: Định mức chi phí thiết kế bản vẽ thi công của công trình phục vụ nông nghiệp và môi trường không yêu cầu thiết kế kỹ thuật,,,"3,812","3,362","3,043","2,266","1,744","1,393","0,925","0,807","0,719",,,,,,,,,,,,,,,Cấp đặc biệt,"0,616","0,555",,,,,,,,,
Bảng 2.14: Định mức chi phí thiết kế bản vẽ thi công của công trình phục vụ nông nghiệp và môi trường không yêu cầu thiết kế kỹ thuật,,,"3,314","2,924","2,646","1,970","1,517","1,211","0,805","0,701","0,625",,,,,,,,,,,,,,,Cấp I,"0,536","0,482",,,,,,,,,
Bảng 2.14: Định mức chi phí thiết kế bản vẽ thi công của công trình phục vụ nông nghiệp và môi trường không yêu cầu thiết kế kỹ thuật,,,"2,817","2,485","2,249","1,675","1,289","1,030","0,684","0,596","0,531",,,,,,,,,,,,,,,Cấp II,"0,455","0,410",,,,,,,,,
Bảng 2.14: Định mức chi phí thiết kế bản vẽ thi công của công trình phục vụ nông nghiệp và môi trường không yêu cầu thiết kế kỹ thuật,,,"2,320","2,046","1,852","1,379","1,062","0,848","0,563","0,491","0,438",,,,,,,,,,,,,,,Cấp III,"0,375","0,337",,,,,,,,,
Bảng 2.14: Định mức chi phí thiết kế bản vẽ thi công của công trình phục vụ nông nghiệp và môi trường không yêu cầu thiết kế kỹ thuật,,,"1,823","1,608","1,455","1,084","0,834","0,666","0,443","0,386","0,344",,,,,,,,,,,,,,,Cấp IV,"0,295","0,265",,,,,,,,,
"Bảng TL1: Định mức chi phí thiết kế công trình thủy lợi, trạm bơm tưới tiêu",,,,"0,65","0,55","0,45","0,38","0,32",,,,,,,,,,,,,,,"0,75",,,Cấp đặc biệt và cấp I,,,,"0,89",,,"0,26",,,,
"Bảng TL1: Định mức chi phí thiết kế công trình thủy lợi, trạm bơm tưới tiêu",,,,"0,54","0,46","0,38","0,32","0,27",,,,,,,,,,,,,,,"0,62",,,"Cấp II, cấp III và cấp IV",,,,"0,74",,,"0,22",,,,
Bảng 2.15: Định mức chi phí thiết kế kỹ thuật của công trình hạ tầng kỹ thuật có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"3,079","2,707","2,381","1,753","1,370","1,094","0,701","0,611","0,542",,,,,,,,,,,,,,,Cấp đặc biệt,"0,468","0,420",,,,,,,,,
Bảng 2.15: Định mức chi phí thiết kế kỹ thuật của công trình hạ tầng kỹ thuật có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,678","2,354","2,070","1,525","1,191","0,951","0,610","0,531","0,472",,,,,,,,,,,,,,,Cấp I,"0,407","0,365",,,,,,,,,
Bảng 2.15: Định mức chi phí thiết kế kỹ thuật của công trình hạ tầng kỹ thuật có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"2,276","2,001","1,760","1,296","1,012","0,808","0,518","0,451","0,401",,,,,,,,,,,,,,,Cấp II,"0,346","0,311",,,,,,,,,
Bảng 2.15: Định mức chi phí thiết kế kỹ thuật của công trình hạ tầng kỹ thuật có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"1,874","1,648","1,449","1,067","0,834","0,666","0,427","0,372","0,330",,,,,,,,,,,,,,,Cấp III,"0,285","0,256",,,,,,,,,
