STTSTTSTT,Mã hiệuMãMã  hiệuhiệu,Loại máy và thiết bịLoại máy và thiết bịLoại máy và thiết bị,Số ca nămSố caSố ca  nămnăm,Định mức (%)Định mức (%)Định mức (%) — Khấu haoKhấuKhấu  haohao,Định mức (%)Định mức (%)Định mức (%) — Sửa chữaSửa chữaSửa chữa,Định mức (%)Định mức (%)Định mức (%) — Chi phí khácChi phí khácChi phí khác,"Định mức tiêu hao nhiên liệu, năng lượng (1 ca)Định mức tiêu hao nhiên liệu, năng lượng (1 ca)Định mức tiêu hao nhiên liệu, năng lượng (1 ca)",Nhân công điều khiển máyNhân công Nhân công điềuđiều khiển máy khiển máy,Nguyên giá tham khảo (1000 VNĐ)Nguyên giá tham khảo (1000Nguyên giá tham khảo (1000  VNĐ)VNĐ),Chi phí nhiên liệu (đồng/ ca)Chi phí nhiên liệu (đồngChi phí nhiên liệu (đồng// ca) ca),Chi phí nhân công điều khiển máy vùng/ khu vực... (đồng/ca)Chi phí nhân công Chi phí nhân công điềuđiều khiển máy vùng khiển máy vùng// khu vực... (đồng khu vực... (đồng//ca)ca),Giá ca máy vùng/ khu vực... (đồng/ ca)Giá ca máy vùngGiá ca máy vùng// khu vực... (đồng khu vực... (đồng// ca) ca)
XXX,,MÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦM,MÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦM,MÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦM,MÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦM,MÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦMMÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦM,,,,,,
10.110.110.1,,"Máy xúc chuyên dùng trong hầm dung tích gầu 0,9m3Máy xúc chuyên dùng trongMáy xúc chuyên dùng trong  hầm dung tích gầu 0,9mhầm dung tích gầu 0,9m33",,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
XIXIXI,,"MÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦM","MÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦM","MÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦM","MÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦMMÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦM",,,,,,,
11.111.111.1,,Máy nâng TO-12-24 sức nâng 15tMáy nâng TO-12-24 sức nângMáy nâng TO-12-24 sức nâng  15t15t,,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
XIIXIIXII,,MÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁC,MÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁC,MÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁC,MÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁCMÁY VÀ THIẾT BỊ THI CÔNG KHÁC,,,,,,,
12.112.112.1,,"Máy bơm nước, động cơ điện - công suất 1,1kWMáy bơm nước, động cơ điện - công suất 1,1kWMáy bơm nước, động cơ điện - công suất 1,1kW",,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
BBB,,"MÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ NGHIỆMMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ  NGHIỆMNGHIỆM","MÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ NGHIỆMMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ  NGHIỆMNGHIỆM","MÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ NGHIỆMMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ  NGHIỆMNGHIỆM","MÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ NGHIỆMMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ  NGHIỆMNGHIỆM","MÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ NGHIỆMMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍMÁY VÀ THIẾT BỊ CHUYÊN DÙNG KHẢO SÁT, THÍ  NGHIỆMNGHIỆM",,,,,,
III,,MÁY VÀ THIẾT BỊ KHẢO SÁTMÁY VÀ THIẾT BỊ KHẢO SÁTMÁY VÀ THIẾT BỊ KHẢO SÁT,MÁY VÀ THIẾT BỊ KHẢO SÁTMÁY VÀ THIẾT BỊ KHẢO SÁTMÁY VÀ THIẾT BỊ KHẢO SÁT,MÁY VÀ THIẾT BỊ KHẢO SÁTMÁY VÀ THIẾT BỊ KHẢO SÁTMÁY VÀ THIẾT BỊ KHẢO SÁT,,,,,,,,
1.11.11.1,,Bộ khoan tayBộ khoan tayBộ khoan tay,,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
IIIIII,,"MÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNG","MÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNG","MÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNG",,,,,,,,
2.12.12.1,,Cần BelkenmanCần BelkenmanCần Belkenman,,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
IIIIIIIII,,"MÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG DÂY VÀ TRẠM BIẾN ÁPMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG  DÂY VÀ TRẠM BIẾN ÁPDÂY VÀ TRẠM BIẾN ÁP","MÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG DÂY VÀ TRẠM BIẾN ÁPMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG  DÂY VÀ TRẠM BIẾN ÁPDÂY VÀ TRẠM BIẾN ÁP","MÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG DÂY VÀ TRẠM BIẾN ÁPMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG  DÂY VÀ TRẠM BIẾN ÁPDÂY VÀ TRẠM BIẾN ÁP","MÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG DÂY VÀ TRẠM BIẾN ÁPMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNGMÁY VÀ THIẾT BỊ THÍ NGHIỆM ĐIỆN, ĐƯỜNG  DÂY VÀ TRẠM BIẾN ÁPDÂY VÀ TRẠM BIẾN ÁP",,,,,,,
3.13.13.1,,Bộ tạo nguồn 3 phaBộ tạo nguồn 3 phaBộ tạo nguồn 3 pha,Bộ tạo nguồn 3 phaBộ tạo nguồn 3 phaBộ tạo nguồn 3 pha,Bộ tạo nguồn 3 phaBộ tạo nguồn 3 phaBộ tạo nguồn 3 pha,,,,,,,,
.........,,.........,.........,.........,.........,.........,,,,,,
